Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Bread,Irish Soda Bread Recipe,45,"2 cups all-purpose flour, 1 3/4 cups wholemeal flour (plus up to 1/4 cup for dusting), 1 1/2 teaspoon baking soda, 1 1/2 teaspoons kosher salt, 2 cups buttermilk","[IngredientGroup(ingredients=['2 cups all-purpose flour', '1 3/4 cups wholemeal flour (plus up to 1/4 cup for dusting)', '1 1/2 teaspoon baking soda', '1 1/2 teaspoons kosher salt', '2 cups buttermilk'], purpose=None)]","Prep. Preheat oven to 400º F. Line a baking sheet with parchment paper or lightly dust with flour.
Mix. Whisk together the flour, baking soda, and salt. Stir in the buttermilk until just combined.
Form the dough. Turn out the dough onto a lightly floured surface and knead lightly until not sticky and the dough is smooth - but no more than SEVEN times. Do not overwork the dough as this will release too much of the gas bubbles and cause the dough not to rise. Shape the dough into a circle and place it onto the prepared baking sheet. Cut a cross into the top of the dough.
Bake. Bake for approximately 40 minutes. Test the bread for doneness by tapping the bottom of the loaf. It should have a hollow sound.
Cool. Place onto a wire rack to cool. If you would like a softer crust, wrap the bread in a dry tea towel as it cools.","{'calories': '215 kcal', 'carbohydrateContent': '37 g', 'proteinContent': '7 g', 'fatContent': '4 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '4 mg', 'sodiumContent': '715 mg', 'fiberContent': '3 g', 'sugarContent': '4 g', 'unsaturatedFatContent': '0.5 g', 'servingSize': '1 serving'}",Irish,12 servings,https://addapinch.com/wp-content/uploads/2024/02/irish-soda-bread-recipe-20.jpg,5.0,"Irish soda bread is a delicious, quick and easy, no yeast bread recipe made of 4 ingredients and just 5 minutes hands on time!",Complete
Bread,Perfect Pizza Dough,35,"1 cup warm water (heated to 110º F), 2 tablespoons yeast, active or rapid rise, 3 1/2 cups all-purpose flour, 1/2 teaspoon sea salt, 1 1/2 tablespoons honey, 1/3 cup olive oil, corn meal (for dusting)","[IngredientGroup(ingredients=['1 cup warm water (heated to 110º F)', '2 tablespoons yeast, active or rapid rise', '3 1/2 cups all-purpose flour', '1/2 teaspoon sea salt', '1 1/2 tablespoons honey', '1/3 cup olive oil', 'corn meal (for dusting)'], purpose=None)]","Prep yeast. Sprinkle yeast over warm water in a bowl. Set aside while preparing the other ingredients.
Whisk together the flour and salt in a large mixing bowl or in the bowl of a stand mixer.
Add olive oil and honey to the flour mixture.
Add yeast and mix together to form a soft dough ball.
Place dough into a glass or stainless steel bowl coated with olive oil. Cover with a damp kitchen towel and place into a 175º - 200ºF oven. Allow to double in size, about 10 minutes.
Remove from oven and punch the dough down. Cover again with a damp cloth and return to the heated oven to double in size, about 20 more minutes.
Remove the dough from oven and portion into sizes based on how you plan to use.
To make pizza: Roll dough and place onto a cornmeal dusted pizza stone. Top with favorite pizza toppings and bake in an oven or on the grill for approximately 20 minutes until crust has turned a light golden brown.","{'calories': '291 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '6 g', 'fatContent': '10 g', 'saturatedFatContent': '1 g', 'sodiumContent': '147 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'unsaturatedFatContent': '8 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2010/10/Pizza-Dough-Recipe_20.jpg,5.0,"Easy Homemade Pizza Dough recipe that makes the best pizza crust! With just 6 ingredients, this is easy enough for beginners. Crisp outside, yet chewy inside for the best pizzas anytime!",Complete
"Breakfast,Dessert",Cinnamon Roll Biscuit Wreath Recipe,27,"2 cups self-rising flour, 1/4 cup granulated sugar, 1 - 1½ cups heavy whipping cream, 3 tablespoons butter (melted), 1 tablespoon ground cinnamon, 3 tablespoons brown sugar, 1 cup confectioner's sugar, 2 tablespoons milk, 1 teaspoon vanilla extract","[IngredientGroup(ingredients=['2 cups self-rising flour', '1/4 cup granulated sugar', '1 - 1½ cups heavy whipping cream'], purpose=None), IngredientGroup(ingredients=['3 tablespoons butter (melted)', '1 tablespoon ground cinnamon', '3 tablespoons brown sugar'], purpose='For the filling'), IngredientGroup(ingredients=[""1 cup confectioner's sugar"", '2 tablespoons milk', '1 teaspoon vanilla extract'], purpose='For the glaze')]","Preheat oven to 475º F. Arrange parchment paper on a baking sheet pan.
Add the flour, sugar and 1 cup of the heavy whipping cream to a large mixing bowl. Stir together until just combined. Add more heavy cream as needed for the dough to come together to form a soft, but manageable biscuit dough. Pour the dough onto a lightly floured surface and gently pat or roll into a rectangle about ½ inch thick.
For the filling
Pour melted butter on top of biscuit dough. Spread to make sure it reaches the edges of the dough.
Mix together cinnamon and sugar and sprinkle on top of melted butter. Roll the dough, beginning at the long edge, until a log of dough has been formed.
Transfer the dough roll to the parchment lined baking sheet. Lightly dampen the ends of the roll of dough with water or milk and bring the damp ends of the dough together, pinching to seal. Form the dough into a circle for the wreath.
Slice the dough, using a sharp knife, at 2-inch intervals about 3/4 of the way through the dough ring. Turn each section of sliced dough on its side to expose the cinnamon roll filling and form the wreath. Place the pan into the oven and bake for 10-12 minutes, or until lightly browned and cooked through. Do not overbake.
For the glaze
As the cinnamon roll wreath bakes, mix together the confectioner's sugar, milk and vanilla until well combined and smooth. Remove the wreath from the oven and allow to cool for a few minutes and then drizzle about 1/4 of the glaze over the top.
Transfer the remaining glaze to a small bowl and place it in the center of the wreath for those who want more glaze for dipping. Serve and enjoy!","{'calories': '513 kcal', 'carbohydrateContent': '51 g', 'proteinContent': '5 g', 'fatContent': '32 g', 'saturatedFatContent': '20 g', 'cholesterolContent': '114 mg', 'sodiumContent': '70 mg', 'fiberContent': '1 g', 'sugarContent': '26 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2017/12/cinnamon-roll-biscuit-wreath-recipe-0166.jpg,5.0,Cinnamon Roll Biscuit Wreath Recipe - Quick and easy this treat has everything you love about a cinnamon roll with the ease of a biscuit in the shape of a festive wreath!,Complete
Main Course,Southern Ham Biscuits,35,"1 recipe buttermilk biscuits, 1 recipe cream biscuits, 1 recipe cheddar biscuits, 1 pound Baked ham (sliced and cut into biscuit-sized pieces), 1 pound Country ham (recommend traditional Virginia country ham), 1 pound shaved deli ham, Pepper Jelly (homemade or store-bought), Pimento Cheese, Honey Butter, Hot Honey (homemade or store-bought), Poppy Seed Spread (recipe below), 1/2 cup butter (melted), 1 tablespoon poppy seeds, 1 tablespoon grated onion (or 2 tablespoon onion powder), 1/2 teaspoon Worcestershire sauce, 1 1/2 tablespoons Dijon mustard","[IngredientGroup(ingredients=['1 recipe buttermilk biscuits', '1 recipe cream biscuits', '1 recipe cheddar biscuits'], purpose='Biscuit Options'), IngredientGroup(ingredients=['1 pound Baked ham (sliced and cut into biscuit-sized pieces)', '1 pound Country ham (recommend traditional Virginia country ham)', '1 pound shaved deli ham'], purpose='Ham Options'), IngredientGroup(ingredients=['Pepper Jelly (homemade or store-bought)', 'Pimento Cheese', 'Honey Butter', 'Hot Honey (homemade or store-bought)', 'Poppy Seed Spread (recipe below)'], purpose='Spread Options'), IngredientGroup(ingredients=['1/2 cup butter (melted)', '1 tablespoon poppy seeds', '1 tablespoon grated onion (or 2 tablespoon onion powder)', '1/2 teaspoon Worcestershire sauce', '1 1/2 tablespoons Dijon mustard'], purpose='Poppy Seed Spread (Optional)')]","Prep. Preheat oven to 475º F. Grease baking sheet or line with parchment paper.
Make the biscuits. Prepare biscuits according to recipe directions. Scoop the biscuit dough with a portion scoop based on the desired size (medium cookie scoop for appetizers or 2 1/2"" scoop for larger size). Or roll the dough and cut with biscuit cutters for the desired size. Place onto prepped baking sheet and bake according to the recipe instructions. Remove and split open with the tines of a fork.
Assemble the ham biscuits. Place ham onto the bottom half of the biscuit and spread the top half with your spread of choice. Return the top half of the biscuit to the top of the ham. Secure with a toothpick or skewer if needed for serving.
Alternatively, serve various spreads in bowls alongside the platter of biscuits
Poppy Seed Spread (Optional)
Mix together the melted butter, poppy seeds, grated onion, Worcestershire sauce, and Dijon mustard until all are well combined.
Honey Butter Spread (Optional)
Mix together until smooth and creamy.","{'carbohydrateContent': '18 g', 'proteinContent': '12 g', 'fatContent': '19 g', 'saturatedFatContent': '10 g', 'transFatContent': '0.2 g', 'cholesterolContent': '49 mg', 'sodiumContent': '528 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'calories': '292 kcal', 'unsaturatedFatContent': '6 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2023/12/Southern-Ham-Biscuits-Recipe-20230252.jpg,5.0,These Southern ham biscuits are perfect as appetizers when entertaining or serving for brunch. The best ham biscuit has a delicious spread to enhance the flavors of the biscuit and the salty meat.,Complete
Breakfast,How to Make Scones Recipe,30,"2 cups all-purpose flour (+ more for work surface), 1/2 cup sugar (+ more for topping), 3 teaspoons baking powder, 1/2 teaspoon kosher salt, 1/2 cup cold butter (+ more for topping), 3/4 - 1 cup heavy cream, 1 teaspoon vanilla extract, 1 large egg (optional. lightly beaten), 1-2 cups Add-ins (optional. Such as fruit, nuts, or chocolate chips.), 1 cup confectioner's sugar, 1-2 tablespoons heavy cream, 2 teaspoons vanilla bean paste","[IngredientGroup(ingredients=['2 cups all-purpose flour (+ more for work surface)', '1/2 cup sugar (+ more for topping)', '3 teaspoons baking powder', '1/2 teaspoon kosher salt', '1/2 cup cold butter (+ more for topping)', '3/4 - 1 cup heavy cream', '1 teaspoon vanilla extract', '1 large egg (optional. lightly beaten)', '1-2 cups Add-ins (optional. Such as fruit, nuts, or chocolate chips.)'], purpose='Cream Scone Recipe:'), IngredientGroup(ingredients=[""1 cup confectioner's sugar"", '1-2 tablespoons heavy cream', '2 teaspoons vanilla bean paste'], purpose='Vanilla Bean Glaze:')]","Prep. Preheat oven to 400º F. Line a rimmed baking sheet pan with parchment paper or a nonstick baking sheet.
Make the scone dough. Whisk together flour, sugar, baking powder, and salt in a large bowl. Add butter to the bowl and cut into the flour with a pastry blender until the largest pieces of butter are about the size of a pea and the flour mixture resembles coarse meal. Stir in 3/4 cup of heavy cream and vanilla extract. Press dough together between the palms of your hands. If it doesn't just hold together, add more heavy cream until it just holds together.
Optional ingredients: If adding an egg or add-ins, stir them in with the heavy cream and vanilla extract.
Cut the scones. Pour dough onto a lightly floured countertop or a pastry board. Pat dough into a large round disc, about an inch thick. Cut dough into equal-sized wedges or into rounds with a biscuit cutter. Place onto the prepared baking sheet pan. Brush with cream or melt a tablespoon butter and brush on top of the dough. Sprinkle with additional sugar for topping if not using a glaze.
Bake. Bake scones for 20-25 minutes or until they are just beginning to turn lightly brown. Remove from the oven.
Vanilla Bean Glaze:
Whisk all of the glaze ingredients together in a medium sized bowl until smooth and then drizzle on top of each scone while it is still warm.","{'calories': '336 kcal', 'carbohydrateContent': '52 g', 'proteinContent': '3 g', 'fatContent': '12 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '33 mg', 'sodiumContent': '249 mg', 'sugarContent': '28 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2015/02/cream-scones-vanilla-bean-glaze-DSC_0979-2.jpg,5.0,"This easy scones recipe has crisp edges and a moist, buttery, flaky, tender interior. Ready in less than 45 minutes and great to make ahead.",Complete
Side Dish,Southern Cornbread Recipe,30,"2 cups self-rising cornmeal, 1 cup self-rising flour, 2 large eggs, 2 cups buttermilk, 1/2 cup water","[IngredientGroup(ingredients=['2 cups self-rising cornmeal', '1 cup self-rising flour', '2 large eggs', '2 cups buttermilk', '1/2 cup water'], purpose=None)]","Preheat oven to 425º F.
Coat large (12 inch) skillet with enough vegetable shortening or butter to coat the bottom and sides of the skillet. Place the coated oven into the oven for the butter or shortening to melt. Remove the skillet from oven once melted.
Meanwhile, stir together the cornmeal, flour, eggs, buttermilk and water and pour into the hot skillet. Return to the oven and bake about 25 minutes or until bread has risen and center springs to the touch.
Serve directly from skillet or allow to stand about 5 minutes and flip onto a plate for serving.","{'servingSize': '1 slice', 'calories': '264 kcal', 'carbohydrateContent': '43 g', 'proteinContent': '9 g', 'fatContent': '5 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '53 mg', 'sodiumContent': '83 mg', 'fiberContent': '4 g', 'sugarContent': '3 g'}",American,8 servings,https://addapinch.com/wp-content/uploads/2010/10/southern-cornbread-recipe-0082.jpg,4.97,This Southern Cornbread recipe is a classic Southern dish and makes the BEST cornbread! Easy recipe is delicious and crispy yet tender! Made in cast iron skillet with 5 ingredients and ready in 30 minutes!,Complete
Bread,Southern Sweet Potato Biscuits Recipe,22,"1 cup mashed sweet potato (from a medium cooked sweet potato), 1/2 cup whole milk, 2 cups all-purpose flour (spooned and leveled), 1 tablespoon baking powder, 1 teaspoon kosher salt, 1 tablespoon sugar, 1/2 cup butter (cold, plus more melted butter for brushing the tops of the biscuits)","[IngredientGroup(ingredients=['1 cup mashed sweet potato (from a medium cooked sweet potato)', '1/2 cup whole milk', '2 cups all-purpose flour (spooned and leveled)', '1 tablespoon baking powder', '1 teaspoon kosher salt', '1 tablespoon sugar', '1/2 cup butter (cold, plus more melted butter for brushing the tops of the biscuits)'], purpose=None)]","Prep. Preheat oven to 425º F. Line a baking sheet with parchment paper and set aside.
Make the sweet potato biscuit dough. Whisk together the flour, baking powder, salt, and sugar in a large mixing bowl. Cut the butter into chunks and add to the flour mixture. Cut into the flour mixture with a pastry blender or with a fork until the butter resembles coarse crumbs in the flour mixture. Add the sweet potato and slowly add enough of the milk to make a soft dough.
Cut out the biscuits. Turn the sweet potato biscuit dough out onto a lightly floured surface. Gently pat the dough into a rectangle. Fold each of the edges of the dough into the center and again, gently pat into a rectangle about 1/2-inch thick. Cut the dough with a floured, sharp metal cutter or bench knife. Place the cut biscuits on the prepared baking sheet. Brush the sweet potato biscuits lightly with melted butter.
Bake the biscuits. Place into hot oven and bake for 10-12 minutes. Serve hot.","{'calories': '164 kcal', 'carbohydrateContent': '20 g', 'proteinContent': '3 g', 'fatContent': '8 g', 'saturatedFatContent': '5 g', 'transFatContent': '0.3 g', 'cholesterolContent': '22 mg', 'sodiumContent': '266 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'unsaturatedFatContent': '2.4 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2011/10/Sweet-Potato-Biscuits-Recipe-1.jpg,5.0,Sweet Potato Biscuits make a delicious biscuit recipe that the whole family loves. Get this heirloom sweet potato biscuits recipe that you'll turn to again and again.,Complete
how to,Homemade Croutons Recipe,11,"3 cups sourdough bread (cut into cubes), 1/4 cup olive oil, 1 teaspoon Stone House Seasoning","[IngredientGroup(ingredients=['3 cups sourdough bread (cut into cubes)', '1/4 cup olive oil', '1 teaspoon Stone House Seasoning'], purpose=None)]","Preheat oven to 400º F.
Cut sourdough bread into cubes and add to a large bowl. Drizzle with olive oil and add Stone House Seasoning. Toss well to coat the bread cubes on all sides.
Line a rimmed baking sheet with parchment or lightly coat the baking sheet with a bit of olive oil spray.
Spread the sourdough bread cubes onto the baking sheet in a single layer, leaving space between the bread cubes for even crisping.
Bake until golden, about 8 - 10 minutes, checking halfway through cooking time to make sure they are not getting too brown.
Remove from the oven and serve immediately while warm or allow to cool completely and store in an airtight container for up to 4 days.","{'calories': '118 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '2 g', 'fatContent': '9 g', 'saturatedFatContent': '1 g', 'sodiumContent': '472 mg', 'fiberContent': '0.3 g', 'sugarContent': '1 g', 'unsaturatedFatContent': '8 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2019/09/homemade-croutons-recipe-2291.jpg,5.0,"Learn to make homemade croutons from scratch in minutes with this simple, delicious croutons recipe. Easy to customize and perfect for topping salads, soups, and more!",Complete
Bread,Homemade Zucchini Bread Recipe,70,"3 large eggs (separated), 1 cup oil (neutral flavored for baking ), 2 cups sugar (granulated or brown sugar), 2 cups zucchini (grated (unpeeled) - about 2 medium zucchini), 1 teaspoon vanilla extract, 3 cups all-purpose flour, 1 teaspoon kosher salt, 1 teaspoon ground cinnamon, 1 teaspoon baking soda, 1/4 teaspoon baking powder, 1/2 cup pecans (chocolate chips or dried fruit)","[IngredientGroup(ingredients=['3 large eggs (separated)', '1 cup oil (neutral flavored for baking )', '2 cups sugar (granulated or brown sugar)', '2 cups zucchini (grated (unpeeled) - about 2 medium zucchini)', '1 teaspoon vanilla extract', '3 cups all-purpose flour', '1 teaspoon kosher salt', '1 teaspoon ground cinnamon', '1 teaspoon baking soda', '1/4 teaspoon baking powder'], purpose=None), IngredientGroup(ingredients=['1/2 cup pecans (chocolate chips or dried fruit)'], purpose='Optional Mix-ins')]","Prep. Preheat the oven to 350º F, prepare the loaf pans, beat the egg whites until stiff, and set aside. Grate the zucchini with a box grater and set aside.
Make the Zucchini Bread Batter. Add the oil, sugar, zucchini, vanilla extract, and egg yolks in a large mixing bowl. Stir to combine. Add in the flour, salt, cinnamon, baking soda, and baking powder and stir to combine.
Add nuts or mix-ins. Add the chopped nuts or other mix-ins and stir to combine.
Add egg whites. Fold the egg whites into the batter.
Bake. Pour the batter into prepared loaf pans and bake until golden brown and a skewer inserted in the center of the bread comes out with some crumbs attached but no batter, about an hour. Cool in the pans for about 10 minutes before turning out onto a wire rack to cool for at least 30 minutes before slicing.","{'calories': '229 kcal', 'carbohydrateContent': '29 g', 'proteinContent': '3 g', 'fatContent': '12 g', 'saturatedFatContent': '1 g', 'transFatContent': '0.04 g', 'cholesterolContent': '23 mg', 'sodiumContent': '153 mg', 'fiberContent': '1 g', 'sugarContent': '17 g', 'unsaturatedFatContent': '10 g', 'servingSize': '1 serving'}",American,24 servings,https://addapinch.com/wp-content/uploads/2011/06/Add-a-Pinch_Zucchini-Bread_019.jpg,5.0,"This Homemade Zucchini Bread is an easy, failproof quick bread recipe that is always a crowd favorite. Filled with grated zucchini this bread is moist and delicious.",Complete
Bread,Cornbread Muffins Recipe,20,"1 cup cornmeal, 1 1/2 cups self-rising flour, 1 cup buttermilk, 3 tablespoons honey, 1/2 cup butter (melted), 2 large eggs","[IngredientGroup(ingredients=['1 cup cornmeal', '1 1/2 cups self-rising flour', '1 cup buttermilk', '3 tablespoons honey', '1/2 cup butter (melted)', '2 large eggs'], purpose=None)]","Prep. Preheat oven to 425º F. Line muffin pan with paper liners, spray with baking spray or lightly grease with vegetable oil. Set aside.
Whisk together dry ingredients. Whisk together the cornmeal and self-rising flour in a large mixing bowl.
Whisk together wet ingredients. Add the buttermilk, honey, butter and eggs to a 2-cup measuring cup or another mixing bowl. Whisk together until the egg is well combined.
Combine and Bake. Stir the wet ingredients into the dry ingredients. Spoon the cornbread muffin mixture evenly into the prepared muffin pan, until each is filled 3/4. Bake until the cornbread muffins have risen and the center springs to the touch, about 15 - 20.
Serve. Allow the muffins to cool in the pan for a few moments and then run a knife around the edge of the muffin to release them from the pan, if needed. Serve warm.","{'servingSize': '1 muffin', 'calories': '215 kcal', 'carbohydrateContent': '26 g', 'proteinContent': '5 g', 'fatContent': '10 g', 'saturatedFatContent': '6 g', 'transFatContent': '1 g', 'cholesterolContent': '54 mg', 'sodiumContent': '101 mg', 'fiberContent': '2 g', 'sugarContent': '6 g', 'unsaturatedFatContent': '4 g'}",American,12 servings,https://addapinch.com/wp-content/uploads/2021/10/cornbread-muffins-recipe-2.jpg,5.0,"These cornbread muffins are quick, easy, tender and delicious! Lightly sweetened with honey, they are a favorite with soups, chili, stews, BBQ and more!",Complete
