Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Breakfast,Chocolate Pancakes Recipe,30,"1 cup self-rising flour, 2 tablespoons sugar, 1/4 teaspoon kosher salt, 2 tablespoons unsweetened cocoa powder, 1 cup buttermilk, 1 egg, 2 tablespoons butter (melted), 1 teaspoon vanilla extract","IngredientGroup(ingredients=['1 cup self-rising flour', '2 tablespoons sugar', '1/4 teaspoon kosher salt', '2 tablespoons unsweetened cocoa powder', '1 cup buttermilk', '1 egg', '2 tablespoons butter (melted)', '1 teaspoon vanilla extract'], purpose=None)","Combine dry ingredients (flour, sugar, salt, cocoa powder) and gently whisk through to mix.
Mix together buttermilk, egg, butter, and vanilla.
Gently combine wet ingredients into the dry ingredients. Do not over mix.
Heat griddle over medium heat.
Drop ¼ cup scoops of batter onto griddle.
Flip once.
Top with a touch of butter while still piping hot.
Serve hot with your favorite maple or pancake syrup or top with a bit of whipped cream and fresh berries.","{'calories': '165 kcal', 'carbohydrateContent': '22 g', 'proteinContent': '5 g', 'fatContent': '6 g', 'saturatedFatContent': '4 g', 'transFatContent': '1 g', 'cholesterolContent': '42 mg', 'sodiumContent': '183 mg', 'fiberContent': '1 g', 'sugarContent': '6 g', 'unsaturatedFatContent': '3 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2013/05/chocolate-pancakes-DSC_3185-2.jpg,4.8,"Chocolate Pancakes make the perfect chocolate lovers breakfast. Get this delicious, quick-fix chocolate pancake recipe for perfect mornings.",Complete
"Breakfast,Dessert",Cinnamon Roll Recipe,105,"1 cup warm milk (110º F), 2 1/4 teaspoons yeast ((1 yeast packet)), 1/2 cup granulated sugar, 1/2 cup melted butter, 2 teaspoons Kosher salt, 2 large eggs (room temperature), 4 1/2 cups all-purpose flour + a little for handling, 1 cup packed brown sugar, 2 1/2 tablespoons ground cinnamon, 1/2 cup butter (softened), 1/2 cup butter (softened), 1 1/2 cup confectioners sugar, 1/4 cup cream cheese (softened), 1/2 tablespoon vanilla extract, 1/8 teaspoon Kosher salt","IngredientGroup(ingredients=['1 cup warm milk (110º F)', '2 1/4 teaspoons yeast ((1 yeast packet))', '1/2 cup granulated sugar', '1/2 cup melted butter', '2 teaspoons Kosher salt', '2 large eggs (room temperature)', '4 1/2 cups all-purpose flour + a little for handling'], purpose='Cinnamon Roll Dough:'), IngredientGroup(ingredients=['1 cup packed brown sugar', '2 1/2 tablespoons ground cinnamon', '1/2 cup butter (softened)'], purpose='Cinnamon Roll Filling:'), IngredientGroup(ingredients=['1/2 cup butter (softened)', '1 1/2 cup confectioners sugar', '1/4 cup cream cheese (softened)', '1/2 tablespoon vanilla extract', '1/8 teaspoon Kosher salt'], purpose='Cinnamon Roll Frosting:')","Cinnamon Roll Dough:
Add yeast and sugar to warm milk in a large bowl. Stir gently to combine and allow the yeast to foam to proof. Once the yeast has proofed, stir in melted butter, salt, eggs, and flour into yeast mixture. Gently mix until well-combined.
Turn dough onto a lightly floured surface and knead for 10-12 minutes. Form the dough into a large ball and place into a large buttered glass bowl. Cover lightly with plastic or with a tea towel and place in a warm location free of any drafts. Allow to rise so that the dough is doubled in size.
Cinnamon Roll Filling:
Place dough on a large lightly floured surface and roll to a 1/4 inch thickness. Spread softened butter over the top of the dough.
Stir together the brown sugar and cinnamon and sprinkle generously all over the buttered dough.
Tightly roll the dough, beginning at the long edge, until a log of dough has been formed.
Cut the dough into 3/4-inch to 1-inch slices and place onto a lightly buttered baking sheet pan or into two buttered 9x13 baking dishes.
Baking and Icing:
Preheat oven to 400º Fahrenheit.
Allow rolls to rise for 30 minutes.
Place rolls into oven and allow to cook until lightly browned and cooked through, but not overcooked, about 15-20 minutes.
While cinnamon rolls are baking, prepare cream cheese frosting by creaming together butter, confectioner's sugar, cream cheese, vanilla and salt.
Remove cinnamon rolls from the oven and allow to cool slightly.
Spread frosting generously over rolls while they are warm.","{'calories': '294 kcal', 'carbohydrateContent': '40 g', 'proteinContent': '4 g', 'fatContent': '13 g', 'saturatedFatContent': '8 g', 'transFatContent': '0.5 g', 'cholesterolContent': '50 mg', 'sodiumContent': '318 mg', 'fiberContent': '1 g', 'sugarContent': '21 g', 'unsaturatedFatContent': '4 g', 'servingSize': '1 serving'}",American,24 servings,https://addapinch.com/wp-content/uploads/2022/12/Add-a-Pinch_Cinnamon-Rolls_034.jpg,5.0,The Best Cinnamon Rolls Recipe - These easy homemade cinnamon rolls are the best I've ever tasted! They are soft and delicious with a classic cinnamon swirl and topped with cream cheese frosting. This cinnamon roll recipe includes options for making ahead and baking fresh the next morning and freezing them for later.,Complete
Dessert,Apple Fritters Recipe,30,"2 large Granny Smith apples (peeled and diced), 1 3/4 cups all-purpose flour, 1 tablespoon baking powder, 3 tablespoons sugar, 1/2 teaspoon kosher salt, 1 1/2 teaspoons apple pie spice, 1/2 cup milk, 2 large eggs, 1/2 cup apple cider, 1 1/2 teaspoons vanilla extract, 3 - 4 cups peanut oil, 1 cup confectioner's sugar, 2 tablespoons milk, 1 tablespoon apple cider","IngredientGroup(ingredients=['2 large Granny Smith apples (peeled and diced)', '1 3/4 cups all-purpose flour', '1 tablespoon baking powder', '3 tablespoons sugar', '1/2 teaspoon kosher salt', '1 1/2 teaspoons apple pie spice', '1/2 cup milk', '2 large eggs', '1/2 cup apple cider', '1 1/2 teaspoons vanilla extract', '3 - 4 cups peanut oil'], purpose=None), IngredientGroup(ingredients=[""1 cup confectioner's sugar"", '2 tablespoons milk', '1 tablespoon apple cider'], purpose='For the glaze:')","Line a rimmed baking sheet with paper towels in preparation for draining fritters once they are cooked.
Whisk together flour, baking powder, sugar, salt, and apple pie spice in a medium bowl. Add diced apples and toss in the flour mixture. Whisk together milk, eggs, and vanilla in a 2-cup measuring cup. Stir carefully into flour mixture with a rubber spatula, just until well-combined.
Pour oil into deep skillet or Dutch oven over medium heat and bring to 350º F. Using two tablespoons, place 5 to 6 scoops at a time into heated oil. Cook apple fritters about 3 minutes on each side until golden brown and cooked through.
Remove from the Dutch oven with a slotted spoon and place onto prepared pan for draining.
For the glaze:
Whisk together confectioner's sugar, milk, and apple cider until smooth. Spoon 1 teaspoon of glaze over each apple fritter and allow to rest about 8 to 10 minutes before serving.","{'servingSize': '1 fritter', 'calories': '317 kcal', 'carbohydrateContent': '52 g', 'proteinContent': '5 g', 'fatContent': '10 g', 'saturatedFatContent': '2 g', 'transFatContent': '0.01 g', 'cholesterolContent': '49 mg', 'sodiumContent': '174 mg', 'fiberContent': '2 g', 'sugarContent': '28 g', 'unsaturatedFatContent': '7 g'}",American,8 servings,https://addapinch.com/wp-content/uploads/2015/09/apple-fritters-recipe_DSC2655-1.jpg,5.0,"These Apple Fritters are so delicious and easy to make! Juicy, tart apples in sweet fried pastry, drizzled with a luscious glaze are the perfect fall treat!",Complete
Breakfast,Best French Toast Recipe,10,"2 large eggs, 1 cup milk (or half and half, coconut milk or almond milk), pinch kosher salt, 1 tablespoon granulated sugar (or honey or maple syrup), 1 teaspoon vanilla extract, 1 teaspoon ground cinnamon, 8 slices sandwich bread, butter","IngredientGroup(ingredients=['2 large eggs', '1 cup milk (or half and half, coconut milk or almond milk)', 'pinch kosher salt', '1 tablespoon granulated sugar (or honey or maple syrup)', '1 teaspoon vanilla extract', '1 teaspoon ground cinnamon', '8 slices sandwich bread', 'butter'], purpose=None)","Whisk and dip. Whisk together eggs, milk, salt, sugar, vanilla extract, and ground cinnamon in a flat-bottomed shallow baking dish. Place bread slices, one or two at a time, into the egg mixture and flip to make sure both sides of bread are well-coated.
Cook. Melt butter in a large skillet or on a griddle. Place bread slices in skillet or on griddle and cook on medium heat until golden brown on each side, about 2-3 minutes.
Serve. Serve immediately or keep warm in oven until ready to serve, but no longer than about 30 minutes.","{'calories': '225 kcal', 'carbohydrateContent': '32 g', 'proteinContent': '9 g', 'fatContent': '5 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '99 mg', 'sodiumContent': '307 mg', 'fiberContent': '1 g', 'sugarContent': '10 g', 'servingSize': '1 serving'}","American,French",4 servings,https://addapinch.com/wp-content/uploads/2017/05/french-toast-recipe-DSC_2797.jpg,5.0,"This French toast recipe makes a delicious breakfast or brunch. Make this simple, yet perfect French toast recipe that everyone will love.",Complete
"Appetizer,Breakfast",Bacon Egg Cups Recipe,25,"6 slices bacon (thick cut recommended), 6 large eggs, 2 tablespoons grated Parmesan cheese, salt and pepper (to taste), 2 tablespoons green onions (chopped)","IngredientGroup(ingredients=['6 slices bacon (thick cut recommended)', '6 large eggs', '2 tablespoons grated Parmesan cheese', 'salt and pepper (to taste)', '2 tablespoons green onions (chopped)'], purpose=None)","Preheat oven to 375ºF. Spray muffin pan with non-stick cooking spray and set aside.
Cook bacon over medium heat for 5-8 minutes. Remove the bacon before it is fully cooked and dry on a paper-towel lined plate.
Arrange each slice of bacon around the edge of each muffin cup, creating a circle around the edge.
Crack one egg into each bacon wrapped muffin cup and sprinkle with parmesan cheese. Bake 13 - 16 minutes, based on your preference for the egg consistency. At 13 minutes, the egg yolk will be more soft-boiled and at 16 minutes, more hard-boiled consistency.
Remove each cup from muffin pan with a spoon and serve with a sprinkle of salt, pepper, and the green onions.","{'calories': '138 kcal', 'proteinContent': '12 g', 'fatContent': '9 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '182 mg', 'sodiumContent': '420 mg', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2017/03/bacon-egg-cups-recipe-21_DSC0587.jpg,5.0,"Bacon Egg Cups Recipe - Bacon Egg Cups make a delicious recipe perfect for serving for breakfast, brunch or snack! Great to make for a crowd or to make ahead and reheat for busy mornings!",Complete
"Breakfast,Main Course",Southern Sausage Cheddar Quiche Recipe,30,"2 tablespoons butter (softened), 2 cups self-rising flour, 1 1/2 cups heavy cream, 1 pound breakfast sausage, 1 1/2 cups grated Cheddar cheese, 5 large eggs, 1/4 cup milk, 1/2 teaspoon kosher salt, 1/4 teaspoon ground black pepper","IngredientGroup(ingredients=['2 tablespoons butter (softened)'], purpose=None), IngredientGroup(ingredients=['2 cups self-rising flour', '1 1/2 cups heavy cream'], purpose='Biscuit Dough Crust'), IngredientGroup(ingredients=['1 pound breakfast sausage', '1 1/2 cups grated Cheddar cheese', '5 large eggs', '1/4 cup milk', '1/2 teaspoon kosher salt', '1/4 teaspoon ground black pepper'], purpose='Filling:')","Preheat oven to 400ºF. Spread softened butter along in the inside of a medium (12-inch) skillet. Set aside.
Stir together self-rising flour and heavy cream in a medium mixing bowl until just combined. Press the dough into the bottom of the skillet and about 2-inches up the sides of the skillet. Set aside.
In another medium skillet set over medium heat, crumble and brown the ground breakfast sausage, about 5 minutes. Remove from the heat. Using a slotted spoon, remove the browned sausage from the skillet and sprinkle onto the biscuit dough.Top the sausage with the cheddar cheese.
Whisk together the eggs, milk, salt and pepper and pour the mixture over the cheese.
Place the skillet into the oven and bake until the eggs are set the breakfast pizza is golden brown on top, about 20 minutes.","{'calories': '598 kcal', 'carbohydrateContent': '24 g', 'proteinContent': '22 g', 'fatContent': '45 g', 'saturatedFatContent': '22 g', 'cholesterolContent': '248 mg', 'sodiumContent': '727 mg', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2017/02/southern-sausage-cheddar-quiche-recipe-IMG_0998.jpg,5.0,"This Southern Sausage Cheddar Quiche recipe makes a quick and easy brunch, lunch or dinner. Ready and on the table in 30 minutes, it is a Southern update to a classic!",Complete
Breakfast,Instant Pot Grits Recipe,15,"1 1/2 cups stone ground grits, 8 cups water, 2 teaspoons kosher salt, 2 cups cream or half and half, 6 tablespoons butter (+ more for serving)","IngredientGroup(ingredients=['1 1/2 cups stone ground grits', '8 cups water', '2 teaspoons kosher salt', '2 cups cream or half and half', '6 tablespoons butter (+ more for serving)'], purpose=None)","Spray inside of Instant Pot with olive oil or nonstick cooking spray. Add water, grits and salt. Stir well to combine. Secure the lid to the Instant Pot and set to HIGH setting for 10 minutes with natural pressure release, about 15 minutes.
Once the grits have cooked and the pressure has released naturally, carefully remove the lid to the Instant Pot. Stir in the cream and add the butter. Serve with additional butter and cheese if desired.","{'calories': '350 kcal', 'carbohydrateContent': '35 g', 'proteinContent': '6 g', 'fatContent': '21 g', 'saturatedFatContent': '13 g', 'cholesterolContent': '60 mg', 'sodiumContent': '925 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2019/06/instant-pot-grits-recipe-926-2-scaled.jpg,4.93,"Instant Pot Grits Recipe - These creamy, rich and delicious grits are a classic Southern favorite made in minutes using the Instant Pot.",Complete
"Breakfast,Dessert,Snack",Apple Cider Donut Muffins Recipe,30,"2 cups all-purpose flour, 1 1/2 tsp baking powder, 1/4 teaspoon baking soda, 1 teaspoon kosher salt, 2 teaspoons ground cinnamon, 1/4 cup unsalted butter (room temperature), 1/4 cup vegetable oil (or coconut oil), 1/2 cup brown sugar (packed), 1/2 cup granulated sugar, 2 large eggs, 2 teaspoons vanilla extract, 1/4 cup apple cider concentrate (see the recipe below or substitute with apple cider), 1/4 cup buttermilk, 3 tablespoons butter (melted), 1/2 cup granulated sugar, 1 1/2 teaspoons ground cinnamon, 1/2 cup apple cider","IngredientGroup(ingredients=['2 cups all-purpose flour', '1 1/2 tsp baking powder', '1/4 teaspoon baking soda', '1 teaspoon kosher salt', '2 teaspoons ground cinnamon', '1/4 cup unsalted butter (room temperature)', '1/4 cup vegetable oil (or coconut oil)', '1/2 cup brown sugar (packed)', '1/2 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '1/4 cup apple cider concentrate (see the recipe below or substitute with apple cider)', '1/4 cup buttermilk'], purpose=None), IngredientGroup(ingredients=['3 tablespoons butter (melted)', '1/2 cup granulated sugar', '1 1/2 teaspoons ground cinnamon'], purpose='For the Topping:'), IngredientGroup(ingredients=['1/2 cup apple cider'], purpose='Apple Cider Concentrate')","Preheat oven to 375º F. Spray the muffin pan with nonstick baking spray or coat well with butter and flour, making sure to discard any excess flour from the pan after coating.
Whisk together the flour, baking powder, baking soda, salt, and cinnamon in a medium bowl. Set aside.
Cream together the butter, vegetable oil, and the sugars until light and fluffy, about 3 minutes. Add an egg, one at a time, taking care to fully incorporate before adding the other.
Mix vanilla, apple cider concentrate (or apple cider), and buttermilk in a small bowl. Set aside.
Gently fold flour mixture, into the butter/sugar mixture, alternating with the milk mixture. Stir until just combined. Scoop mixture into prepared muffin pan, filling about 1/2 full. Bake until a toothpick or skewer inserted in the middle comes out clean, about 20 minutes.
Prepare topping for muffins while the muffins are baking. Melt the butter and allow to cool slightly. Mix together the granulated sugar and ground cinnamon in another bowl and set aside.
Once muffins have baked, remove from the oven and allow to cool about 5 minutes in the muffin tin. As you remove each muffin, brush top of muffin with melted butter. Roll the sides of the muffin in the cinnamon sugar and then roll the top of the muffin in the cinnamon sugar. Place onto a plate to finish cooling.
Apple Cider Concentrate
Heat apple cider in a small saucepan over medium heat until it has reduced by half, about 30 minutes.","{'servingSize': '1 muffin', 'calories': '288 kcal', 'carbohydrateContent': '43 g', 'proteinContent': '3 g', 'fatContent': '11 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '55 mg', 'sodiumContent': '239 mg', 'sugarContent': '26 g'}",American,12 servings,https://addapinch.com/wp-content/uploads/2018/10/apple-cider-donut-muffins-recipe-DSC_0752-scaled.jpg,5.0,"Apple Cider Donut Muffins Recipe - These apple cider muffins are light, fluffy and coated in an amazing cinnamon sugar coating!",Complete
"Breakfast,Dessert",Cinnamon Apple Muffins Recipe,35,"2 cups all-purpose flour (+ 2 teaspoons for coating apples), 1½ teaspoons baking powder, ½ teaspoon kosher salt, 2 teaspoons ground cinnamon (+ 1/2 teaspoon for coating apples), 2 cups diced apples, ½ cup unsalted butter (, room temperature), 1 cup granulated sugar, 2 large eggs, 2 teaspoons vanilla extract, ½ cup milk, 1/2 cup butter (melted), 1/4 cup granulated sugar, 1/4 cup ground cinnamon","IngredientGroup(ingredients=['2 cups all-purpose flour (+ 2 teaspoons for coating apples)', '1½ teaspoons baking powder', '½ teaspoon kosher salt', '2 teaspoons ground cinnamon (+ 1/2 teaspoon for coating apples)', '2 cups diced apples', '½ cup unsalted butter (, room temperature)', '1 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '½ cup milk'], purpose=None), IngredientGroup(ingredients=['1/2 cup butter (melted)', '1/4 cup granulated sugar', '1/4 cup ground cinnamon'], purpose='For the Topping:')","Preheat oven to 375º F. Spray muffin tins with bakers spray or coat well with shortening or butter and flour, making sure to discard any excess flour from the tins after coating.
Sift together 2 cups flour, baking powder, salt, and 2 teaspoons cinnamon in a medium bowl. Set aside.
Mix 2 teaspoons flour with 1/2 teaspoon cinnamon. Toss diced apples with the flour/cinnamon mixture to coat apples in a separate bowl. Set aside.
Cream together butter and sugar until lightened in color, about 3 minutes. Add an egg, one at a time, taking care to fully incorporate before adding the other. Mix in vanilla.
Gently fold in flour mixture, alternating with milk. Stir until just combined. Fold in diced apples and scoop mixture into prepared muffin tins, filling about 2/3 to 3/4 full. Bake until a toothpick or skewer inserted in the middle comes out clean, about 30 minutes.
Prepare topping for muffins while the muffins are baking by melting the butter and allowing to cool slightly. Pour butter into a separate bowl sized easy for dipping tops of muffins. Mix together granulated sugar and cinnamon in a separate bowl and set aside.
Once muffins have baked, remove from the oven and allow to cool slightly in the muffin tin. Then, remove each muffin and brush the butter on with a pastry brush (or dip into the melted butter) and then into the cinnamon sugar mixture. Place onto a plate to finish cooling.","{'calories': '335 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '4 g', 'fatContent': '17 g', 'saturatedFatContent': '10 g', 'transFatContent': '1 g', 'cholesterolContent': '73 mg', 'sodiumContent': '184 mg', 'fiberContent': '4 g', 'sugarContent': '24 g', 'unsaturatedFatContent': '5 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2013/10/cinnamon-apple-muffins-DSC_6351-4.jpg,4.95,Cinnamon Apple Muffins make the perfect addition to any breakfast. Get this family favorite recipe for Cinnamon Apple Muffins.,Complete
Breakfast,Blueberry Muffin Recipe,30,"1/2 cup butter (room temperature, plus more for pan), 2 cups all-purpose flour (plus more for pan), 1 1/2 teaspoons baking powder, 1/2 teaspoon kosher salt, 2 cups fresh blueberries, 1 1/2 cups sugar (plus more for topping), 2 large eggs, 2 teaspoons vanilla extract, 1/2 cup milk, 2 tablespoons grated orange rind (optional)","IngredientGroup(ingredients=['1/2 cup butter (room temperature, plus more for pan)', '2 cups all-purpose flour (plus more for pan)', '1 1/2 teaspoons baking powder', '1/2 teaspoon kosher salt', '2 cups fresh blueberries', '1 1/2 cups sugar (plus more for topping)', '2 large eggs', '2 teaspoons vanilla extract', '1/2 cup milk', '2 tablespoons grated orange rind (optional)'], purpose=None)","Preheat oven to 375º F. Prepare muffin pan by buttering and lightly dusting with flour or by coating the cup of the muffin pan with a baking spray.
Whisk together flour, baking powder, and salt in a medium bowl. Set aside. Toss blueberries gently in 1 - 1 1/2 teaspoons flour. Set aside.
Cream together butter and sugar on medium-high speed until light and fluffy, about 3 minutes. Add eggs, one at a time, beating until combined. Add in vanilla extract.
Mix in the flour, mixing just until well-combined. Add the milk, mixing until just combined. Be careful not to overmix.
Fold in the blueberries and orange zest. Divide batter evenly among the prepared muffin cups.
Sprinkle tops of muffins with additional sugar for topping.
Bake until lightly golden brown and cake tester comes out clean when inserted in the middle, about 25 minutes. Allow to cool for just a few minutes in the muffin tin, then turn the muffins out onto a cooling rack and cool for about 10 minutes before serving.","{'servingSize': '1 muffin', 'calories': '276 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '3 g', 'fatContent': '9 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '56 mg', 'sodiumContent': '183 mg', 'fiberContent': '1 g', 'sugarContent': '28 g'}",American,12 servings,https://addapinch.com/wp-content/uploads/2020/03/blueberry-muffins-recipe-2-324.jpg,5.0,"Blueberry Muffins Recipe - This BEST Blueberry Muffin Recipe is easy, delicious, and made in one bowl! Bakes beautiful, bakery-style blueberry muffins every time!",Complete
