Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Main Course,Swedish Meatballs Recipe,30,"1 pound ground beef, 2 tablespoons diced onion, 1 large egg, 1 1/2 teaspoons Stone House Seasoning, 1/4 teaspoon ground allspice (optional), 1/4 teaspoon ground nutmeg (optional), 2 tablespoons bread or cracker crumbs, 2 tablespoons chopped fresh parsley, olive oil, 2 tablespoons butter, 3 tablespoons all-purpose flour, 2 cups beef stock or broth, 1 cup whole milk or heavy cream, 1 teaspoon Stone House Seasoning, 2 teaspoons Worcestershire sauce, 2 tablespoons chopped fresh parsley (optional)","IngredientGroup(ingredients=['1 pound ground beef', '2 tablespoons diced onion', '1 large egg', '1 1/2 teaspoons Stone House Seasoning', '1/4 teaspoon ground allspice (optional)', '1/4 teaspoon ground nutmeg (optional)', '2 tablespoons bread or cracker crumbs', '2 tablespoons chopped fresh parsley', 'olive oil'], purpose='For the meatballs:'), IngredientGroup(ingredients=['2 tablespoons butter', '3 tablespoons all-purpose flour', '2 cups beef stock or broth', '1 cup whole milk or heavy cream', '1 teaspoon Stone House Seasoning', '2 teaspoons Worcestershire sauce', '2 tablespoons chopped fresh parsley (optional)'], purpose='For the sauce:')","For the meatballs:
Mix together all ingredients for the meatballs. Set aside.
Using a tablespoon scoop or spoon, form meatballs from the ground beef mixture. Heat 12-inch skillet or saute pan over medium heat. Drizzle in enough olive oil to lightly coat the bottom of the skillet to prevent meatballs from sticking. Drop formed meatballs into the heated skillet, turning occasionally to ensure that all sides of the meatball have been browned, about 7-10 minutes. The meatballs should reach an internal temperature of 165º F. Remove the meatballs from the skillet or saute pan and drain on a plate lined with paper towels.
For the sauce:
Reduce the heat on the skillet or saute pan to medium-low heat. Melt butter and whisk in flour until it has turned golden brown. Slowly whisk in beef broth and cook until thickened, then add in milk or cream, worcestershire sauce, pepper, and salt. Continue to stir until well-combined. Add meatballs back into the skillet, turning to coat well. Add fresh parsley, if using.","{'calories': '220 kcal', 'carbohydrateContent': '8 g', 'proteinContent': '20 g', 'fatContent': '11 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '91 mg', 'sodiumContent': '1054 mg', 'sugarContent': '2 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2022/10/swedish-meatballs-recipe_14.jpg,4.95,"The Best Swedish Meatballs feature tender meatballs in a rich, creamy sauce! These savory meatballs are ready in 30 minutes for a delicious dinner or satisfying appetizer!",Complete
Main Course,Best Baked Chicken Breast Recipe,25,"olive oil (or butter), 6 boneless skinless chicken breasts, 1 teaspoon Stone House Seasoning (or your favorite seasoning)","IngredientGroup(ingredients=['olive oil (or butter)', '6 boneless skinless chicken breasts', '1 teaspoon Stone House Seasoning (or your favorite seasoning)'], purpose=None)","Preheat. Preheat the oven to 450º F. Arrange the oven rack to the middle position.
Prep. Pat the chicken breast dry with a paper towel. Drizzle a little olive oil into my skillet (if I’m making a few), 9×13 baking dish (if I’m making a medium batch), or sheet pan (if I’m making a larger batch). Arrange the chicken in the pan, allowing it to touch but not overlap. Drizzle with a bit more olive oil and then sprinkle liberally with your seasoning of choice (salt and pepper as a minimum). Then, place into the oven.
Cook. Bake chicken breasts until the internal temperature registers 160º F with a meat thermometer or instant-read thermometer, about 20 minutes. If you don't have an internal thermometer, prick the thickest part of the chicken with a knife when you think it's done. The juices should run clear if the chicken is done. The time will depend on the thickness of your chicken breasts.
Rest. Remove the skillet or casserole dish from the oven, tent it with foil, and let the chicken rest for another 5 minutes. The chicken will continue to cook while it is resting under the foil tent. Then, serve and enjoy.","{'calories': '150 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '24 g', 'fatContent': '5 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '72 mg', 'sodiumContent': '325 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2021/07/Baked-Chicken-Breast-Recipe-14.jpg,5.0,"This easy Baked Chicken Breast recipe makes the BEST baked chicken! My simple 3-ingredient, 3-step method makes it tender, juicy, and delicious!",Complete
Main Course,Classic Chicken Parmesan Recipe,30,"4 boneless skinless chicken breasts, 1/4 cup all-purpose flour, 2 large eggs (lightly beaten), 1 1/2 cups panko, 3/4 cup grated Parmesan cheese, 3/4 cup olive oil (for frying), 1 cup marinara (or tomato sauce), 8 slices mozzarella cheese, 8 slices provolone cheese, 1/4 cup grated Parmesan cheese, 1 bunch fresh basil ((about 1/2 cup) chopped)","IngredientGroup(ingredients=['4 boneless skinless chicken breasts', '1/4 cup all-purpose flour', '2 large eggs (lightly beaten)', '1 1/2 cups panko', '3/4 cup grated Parmesan cheese', '3/4 cup olive oil (for frying)', '1 cup marinara (or tomato sauce)', '8 slices mozzarella cheese', '8 slices provolone cheese', '1/4 cup grated Parmesan cheese', '1 bunch fresh basil ((about 1/2 cup) chopped)'], purpose=None)","Prep. Preheat the oven to 450º F. Line a baking sheet with parchment paper and set aside. Prepare a 9x13 baking dish by spraying with nonstick cooking spray or misting with olive oil. Set aside.
Pound the chicken. Place the chicken breasts onto a heavy cutting board and between two pieces of parchment paper or into a heavy plastic zip top bag. Pound the chicken to 1/2-inch in thickness using a meat mallet or rolling pin. Season the chicken with Stone House Seasoning.
Dredge the chicken. Arrange three flat bottomed dishes for dredging the chicken: (1) flour, (2) egg, and (3) Panko + parmesan cheese. Dip the prepared chicken breast into the flour, taking care to coat both sides of the chicken. Then, dip into the beaten egg, and finally into the Panko and parmesan mixture, making sure to press the Panko into the chicken. Place the coated chicken onto the parchment lined baking sheet.
Brown the chicken. Meanwhile, pour olive oil into a medium skillet set over medium heat. Allow the olive oil to heat until it has a light shimmer and a sprinkle of water sizzles when dropped into the oil. Carefully place the chicken into the oil and cook until golden brown, about 2-3 minutes per side. Remove from the skillet with tongs and place into the prepared baking dish.
Bake and serve. Top each piece of chicken with 1/4 cup of the tomato sauce, mozzarella cheese and provolone cheese. Place into the oven and cook until the chicken has cooked through and reaches 165º F when checked with an internal thermometer, about 18-20 minutes. Remove from the oven, top with basil and serve.","{'servingSize': '1 breast', 'calories': '325 kcal', 'carbohydrateContent': '17 g', 'proteinContent': '26 g', 'fatContent': '17 g', 'sodiumContent': '852 mg'}","American,Italian",4 servings,https://addapinch.com/wp-content/uploads/2019/05/Chicken-Parmesan-Recipe_26-scaled.jpg,5.0,"Chicken Parmesan Recipe - This delicious Chicken Parmesan is lightly breaded, bathed in rich marinara and cheeses, and baked til bubbly! Ready in 30 minutes!",Complete
Bread,Perfect Pizza Dough,35,"1 cup warm water (heated to 110º F), 2 tablespoons yeast, active or rapid rise, 3 1/2 cups all-purpose flour, 1/2 teaspoon sea salt, 1 1/2 tablespoons honey, 1/3 cup olive oil, corn meal (for dusting)","IngredientGroup(ingredients=['1 cup warm water (heated to 110º F)', '2 tablespoons yeast, active or rapid rise', '3 1/2 cups all-purpose flour', '1/2 teaspoon sea salt', '1 1/2 tablespoons honey', '1/3 cup olive oil', 'corn meal (for dusting)'], purpose=None)","Prep yeast. Sprinkle yeast over warm water in a bowl. Set aside while preparing the other ingredients.
Whisk together the flour and salt in a large mixing bowl or in the bowl of a stand mixer.
Add olive oil and honey to the flour mixture.
Add yeast and mix together to form a soft dough ball.
Place dough into a glass or stainless steel bowl coated with olive oil. Cover with a damp kitchen towel and place into a 175º - 200ºF oven. Allow to double in size, about 10 minutes.
Remove from oven and punch the dough down. Cover again with a damp cloth and return to the heated oven to double in size, about 20 more minutes.
Remove the dough from oven and portion into sizes based on how you plan to use.
To make pizza: Roll dough and place onto a cornmeal dusted pizza stone. Top with favorite pizza toppings and bake in an oven or on the grill for approximately 20 minutes until crust has turned a light golden brown.","{'calories': '291 kcal', 'carbohydrateContent': '45 g', 'proteinContent': '6 g', 'fatContent': '10 g', 'saturatedFatContent': '1 g', 'sodiumContent': '147 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'unsaturatedFatContent': '8 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2010/10/Pizza-Dough-Recipe_20.jpg,5.0,"Easy Homemade Pizza Dough recipe that makes the best pizza crust! With just 6 ingredients, this is easy enough for beginners. Crisp outside, yet chewy inside for the best pizzas anytime!",Complete
Main Course,Chicken Cacciatore Recipe,55,"2 tablespoons olive oil, 8 pieces chicken (thighs, legs, or breasts), 1 teaspoon kosher salt (divided), 1 teaspoon ground black pepper (divided), ½ medium onion (chopped), 3 stalks celery (sliced), 2 cloves garlic (minced), 2 tablespoons parsley (chopped fresh or 1 tablespoon dried parsley), 1 teaspoon rosemary (chopped fresh or 1/2 teaspoon dried rosemary leaves), pinch red pepper flakes, 8 ounces mushrooms (sliced), 1 large bell pepper (sliced into thin strips), 1/2 cup chicken stock or broth (or broth), 1 (28-ounce) can crushed tomatoes","IngredientGroup(ingredients=['2 tablespoons olive oil', '8 pieces chicken (thighs, legs, or breasts)', '1 teaspoon kosher salt (divided)', '1 teaspoon ground black pepper (divided)', '½ medium onion (chopped)', '3 stalks celery (sliced)', '2 cloves garlic (minced)', '2 tablespoons parsley (chopped fresh or 1 tablespoon dried parsley)', '1 teaspoon rosemary (chopped fresh or 1/2 teaspoon dried rosemary leaves)', 'pinch red pepper flakes', '8 ounces mushrooms (sliced)', '1 large bell pepper (sliced into thin strips)', '1/2 cup chicken stock or broth (or broth)', '1 (28-ounce) can crushed tomatoes'], purpose=None)","Brown the chicken. Add a tablespoon of olive oil to a large skillet set over medium-high heat. Season the chicken with salt and pepper. Then, add the chicken and cook until browned on one side, about 3 to 5 minutes, before turning onto the other side and browning. Transfer the browned chicken to a plate and set aside. Repeat until all of the chicken has been browned.
Saute onion, celery and garlic. Reduce the heat to the skillet and add the remaining olive oil to the skillet. Stir in the onion, celery and garlic and cook until the vegetables have softened, about 3 minutes.
Add remaining ingredients. Add the parsley, rosemary, red pepper flakes, bell pepper, and mushrooms. Add the chicken stock and crushed tomatoes.
Reduce the sauce. Cook until the sauce has reduced by half.
Add back the chicken. Reduce the heat to low add the chicken and juices from the plate back into the skillet.
Cover and cook. cover and cook until the chicken registers 165ºF when checked with an internal meat thermometer. Remove from the heat and serve.","{'calories': '310 kcal', 'carbohydrateContent': '5 g', 'proteinContent': '29 g', 'fatContent': '19 g', 'sodiumContent': '436 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '1 mg', 'servingSize': '1 serving'}","American,Italian",6 servings,https://addapinch.com/wp-content/uploads/2019/08/Chicken-Cacciatore-Recipe-23.jpg,5.0,"This easy Chicken Cacciatore recipe is a delicious, comforting meal of tender chicken in a rustic sauce of tomatoes, mushrooms, and fresh herbs and spices. Classic Italian favorite that's simple to prepare in less than an hour.",Complete
Main Course,Stuffed Peppers Recipe,50,"4 large bell pepper (red, yellow, or green peppers), 1 pound ground beef (or ground turkey, ground chicken, or ground venison), 1 teaspoon Stone House Seasoning, 1 teaspoon Italian Seasoning, 2 cups spinach, 1 (14.5-ounce) can diced tomatoes, 1 cup cooked white rice, 1 cup grated Cheddar cheese, parsley (optional)","IngredientGroup(ingredients=['4 large bell pepper (red, yellow, or green peppers)', '1 pound ground beef (or ground turkey, ground chicken, or ground venison)', '1 teaspoon Stone House Seasoning', '1 teaspoon Italian Seasoning', '2 cups spinach', '1 (14.5-ounce) can diced tomatoes', '1 cup cooked white rice', '1 cup grated Cheddar cheese', 'parsley (optional)'], purpose=None)","Prep. Preheat the oven to 375º F. Pour 1/4 cup water in 9x13 baking dish. Slice the peppers lengthwise and remove the stem, seeds, and white membrane. Arrange the pepper halves in the baking dish.
Brown and season meat. Add ground beef to Dutch oven over medium heat. Cook, stirring often, until all of the meat is browned. Drain away any excess drippings. Stir in the Stone House Seasoning and Italian Seasoning.
Add spinach and rice, tomatoes, and cheese. Add the spinach and cook until wilted. Stir in the cooked rice, tomatoes, and cheese. Remove from the heat.
Stuff peppers. Spoon the meat mixture into the pepper halves. Top with the remaining cheese.
Bake. Bake the stuffed peppers (uncovered) until the peppers are fork tender and the cheese has melted, about 30 to 35 minutes. The internal temperature should register 160º F. Top with chopped fresh parsley (optional) and serve.","{'servingSize': '1 pepper half', 'calories': '251 kcal', 'carbohydrateContent': '11 g', 'proteinContent': '15 g', 'fatContent': '16 g', 'saturatedFatContent': '7 g', 'transFatContent': '1 g', 'cholesterolContent': '54 mg', 'sodiumContent': '431 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'unsaturatedFatContent': '7 g'}",American,8 servings,https://addapinch.com/wp-content/uploads/2023/01/Stuffed-Peppers-Recipe-DSC_2738-1.jpg,5.0,"This Stuffed Peppers recipe, filled with a hearty beef and rice mixture and topped with cheese, makes a delicious weeknight dinner! Easy, satisfying meal that is also great to prep ahead or freeze!",Complete
"Main Course,Soup",Chicken Noodle Soup Recipe,95,"2 tablespoons butter, 1 tablespoon olive oil, 3 large carrots (peeled and sliced 1/4 inch thick), 2 medium celery (sliced 1/4 inch thick), 1 teaspoon fresh thyme (or 1/4 teaspoon dried), 1 teaspoon Stone House Seasoning, 4 cups chicken stock or broth (homemade or store-bought OR chicken broth), 3 cups water, 1 whole (about 2-3 pounds) organic chicken, 1 (8-ounce) package pasta (egg noodles, fettuccine, spaghetti), 1 tablespoon parsley (fresh, chopped), salt and pepper (to taste)","IngredientGroup(ingredients=['2 tablespoons butter', '1 tablespoon olive oil', '3 large carrots (peeled and sliced 1/4 inch thick)', '2 medium celery (sliced 1/4 inch thick)', '1 teaspoon fresh thyme (or 1/4 teaspoon dried)', '1 teaspoon Stone House Seasoning', '4 cups chicken stock or broth (homemade or store-bought OR chicken broth)', '3 cups water', '1 whole (about 2-3 pounds) organic chicken', '1 (8-ounce) package pasta (egg noodles, fettuccine, spaghetti)', '1 tablespoon parsley (fresh, chopped)', 'salt and pepper (to taste)'], purpose=None)","Stovetop Chicken Noodle Soup
Add butter and olive oil to a Dutch oven or 6-quart stockpot. Sauté the carrots and celery in the butter and olive oil until tender, about 3 minutes.
Pour in the chicken stock or broth and water. Add the chicken. Cook until the chicken reaches an internal temperature of 165º F when checked with a meat thermometer. Remove the chicken from the pot, shred and return to the pot. (If using cooked and shredded leftover or rotisserie chicken, add to the pot and stir to combine.)
Add the noodles to the pot and cook according to package directions. Add seasonings and serve.
Instant Pot Chicken Noodle Soup (30 Minutes)
Set your Instant Pot to the saute setting. Add your butter and olive oil and allow the butter to melt. Stir in your carrots and celery and cook until softened, about 3 minutes.
Add your chicken broth, water, chicken, thyme, and Stone House Seasoning. Secure the lid on the Instant Pot and set on the Manual setting for 12 minutes.
Allow the Instant Pot to naturally release and then carefully remove the lid of your Instant Pot. Using tongs, carefully remove the chicken from the Instant Pot. Place the chicken into a large bowl. Remove the skin and shred chicken into small, bite-sized pieces using two forks. Discard the skin and bones.
Add your noodles to your soup and return the Instant Pot to the saute setting, bringing the soup to a boil to cook the noodles. Cook until the noodles are tender, about 6 minutes. Stir in shredded chicken and cook until heated through, about 2 minutes.
Sprinkle with fresh parsley and add salt and pepper to taste.","{'servingSize': '1 cup', 'calories': '370 kcal', 'carbohydrateContent': '29 g', 'proteinContent': '4 g', 'fatContent': '6 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '11 mg', 'sodiumContent': '519 mg', 'sugarContent': '3 g'}",American,8 servings,https://addapinch.com/wp-content/uploads/2022/12/Add-a-Pinch_Chicken-Noodle-Soup_017.jpg,5.0,"This delicious Chicken Noodle Soup is a classic soup ready in minutes! It's an incredible homemade chicken noodle soup loaded with fresh vegetables, tender chicken and is a comforting favorite! With Stovetop and Instant Pot instructions!",Complete
Main Course,Beef Tenderloin,60,"1 whole beef tenderloin (Plan two 2″ filets per person), 1 tablespoon Stone House Seasoning","IngredientGroup(ingredients=['1 whole beef tenderloin (Plan two 2″ filets per person)', '1 tablespoon Stone House Seasoning'], purpose=None)","Place beef tenderloin on a rimmed baking sheet, pat dry with paper towels and season both sides of the meat with Stone House Seasoning. Cover tightly with plastic wrap and refrigerate for one hour or up to 4 days before you plan on cooking and serving.
Remove from the refrigerator, unwrap and allow to stand for about an hour to come to room temperature.
Meanwhile, preheat grill or oven to approximately 400º F.
Place tenderloin onto grill or in the oven. Allow the beef tenderloin to cook until it reaches 145º F when checked with an internal meat thermometer in the thinner areas and 140º F in the thicker area, about 45 minutes.
Remove from grill and cover loosely with aluminum foil and allow to rest on the carving board for about 15 minutes prior to carving and serving.","{'calories': '238 kcal', 'proteinContent': '35 g', 'fatContent': '10 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '105 mg', 'sodiumContent': '64 mg', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2010/12/beef-tenderloin-recipe-0145.jpg,5.0,This Beef Tenderloin recipe makes a decadent celebratory roast that's tender and juicy with a delicious brown crust. Our time-tested recipe and simple tips result in the best beef tenderloin recipe you'll love for holidays and special occasions!,Complete
Main Course,Perfect Prime Rib Recipe,180,"1 (3 - 4 bone) bone-in prime rib, 1 tablespoon kosher salt, 2 teaspoons ground black pepper","IngredientGroup(ingredients=['1 (3 - 4 bone) bone-in prime rib', '1 tablespoon kosher salt', '2 teaspoons ground black pepper'], purpose=None)","Salt prime rib from one hour to up to five days prior to cooking and serving your prime rib. Once salted, wrap tightly in plastic wrap and refrigerate until an hour prior to cooking.
An hour prior to cooking, remove prime rib from refrigerator, unwrap and place, bone side down, on a roasting pan and allow to reach room temperature. If cooking a boneless roast, place onto a roasting rack inside the roasting pan. At this point add pepper or other seasonings, if using.
Preheat oven to 475º F. Then, roast your prime rib for 15 minutes and reduce to 325º F until your prime rib reaches the desired internal temperature, usually 11 - 12 minutes per pound, about 1 hour and 50 minutes. Using an internal meat thermometer, remove your prime rib from the oven about 2 - 4 degrees less than the desired serving final temperature you desire. The temperature of the prime rib will continue to rise due to carryover cooking. Tent prime rib with foil and allow to rest for 20 minutes.Note: Here are the temperatures you'll allow to reach depending on the doneness desired:115º F - 120º F for rare125º F - 130º F for medium rare135º F - 140º F for medium145º F - 150º F for medium well
Place on a carving board for slicing and serve.","{'servingSize': '3 ounces', 'calories': '340 kcal', 'proteinContent': '19 g', 'fatContent': '29 g', 'saturatedFatContent': '12 g', 'cholesterolContent': '72 mg', 'sodiumContent': '55 mg', 'unsaturatedFatContent': '13 g'}",American,6 servings,https://addapinch.com/wp-content/uploads/2017/12/prime-rib-recipe-DSC_0445-400x600.jpg,5.0,Our delicious Prime Rib recipe is simple to make with step-by-step instructions to roast it to perfection! Use simple ingredients and tips for the best prime rib you'll love to serve for special events and holidays!,Complete
Main Course,The Best Lasagna Recipe,105,"1 pound lasagna noodles (cooked according to package directions), 1/2 pound ground beef, 1/2 pound Italian sausage, 1 1/2 teaspoons Stone House Seasoning, 2 teaspoons dried basil, 2 teaspoons dried oregano, 36 ounces pasta sauce (store-bought or homemade), 2 tablespoons tomato paste, 1 large egg (lightly beaten), 1 (8-ounce) package cream cheese (softened), 1 cup plain Greek yogurt, 1/2 cup Parmesan cheese (shredded and divided), 4 cups mozzarella cheese (shredded and divided), 1 bunch fresh parsley (chopped (optional))","IngredientGroup(ingredients=['1 pound lasagna noodles (cooked according to package directions)'], purpose=None), IngredientGroup(ingredients=['1/2 pound ground beef', '1/2 pound Italian sausage', '1 1/2 teaspoons Stone House Seasoning', '2 teaspoons dried basil', '2 teaspoons dried oregano', '36 ounces pasta sauce (store-bought or homemade)', '2 tablespoons tomato paste'], purpose='Meat Sauce'), IngredientGroup(ingredients=['1 large egg (lightly beaten)', '1 (8-ounce) package cream cheese (softened)', '1 cup plain Greek yogurt', '1/2 cup Parmesan cheese (shredded and divided)', '4 cups mozzarella cheese (shredded and divided)', '1 bunch fresh parsley (chopped (optional))'], purpose='Cheese Filling:')","Prep. Preheat oven to 350º F. Spray a 9x13 baking dish with nonstick cooking spray and set aside. Cook and drain the lasagna noodles. Set aside.
Make the Meat Sauce. Cook ground beef and Italian sausage in a large skillet over medium heat. Drain the meat well. Stir in the Stone House Seasoning, basil, oregano, pasta sauce and tomato paste. Simmer until sauce has thickened, about 5 to 10 minutes.
Make the Cheese Mixture. Lightly beat the egg in a large mixing bowl. Add the cream cheese, Greek yogurt, 2 cups Mozzarella cheese, 1/4 cup Parmesan cheese, and parsley (optional). Stir to combine well.
Layer the Lasagna. Ladle 1 cup Meat Sauce into the prepared 9x13 baking dish. Top with a layer of the lasagna noodles. Spread 1/3 of the Cheese Mixture over the noodles and top with 1 cup of Meat Sauce. Repeat twice. Top with another layer of lasagna noodles and the remaining Meat Sauce.
Bake the Lasagna. Cover lightly with aluminum foil and bake for 40 minutes.
Top with Cheese and Serve. Remove foil and top with remaining 2 cups Mozzarella cheese, 1/4 cup Parmesan cheese. Bake uncovered until browned, about 15 minutes. Rest for 10 minutes before cutting and serving.","{'calories': '490 kcal', 'carbohydrateContent': '42 g', 'proteinContent': '31 g', 'fatContent': '22 g', 'saturatedFatContent': '11 g', 'transFatContent': '0.4 g', 'cholesterolContent': '94 mg', 'sodiumContent': '1570 mg', 'fiberContent': '4 g', 'sugarContent': '8 g', 'unsaturatedFatContent': '8 g', 'servingSize': '1 serving'}","American,Italian",8 servings,https://addapinch.com/wp-content/uploads/2014/09/Best-Lasagna-Recipe-17.jpg,5.0,"Homemade Lasagna is a classic, family favorite recipe. Layers of meat, cheese and tender pasta make a delicious meal.",Complete
