Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Salad,Wedge Salad Recipe,15,"1 head iceberg lettuce, 4 slices bacon (cooked and diced), 1 cup cherry tomatoes (diced), 1 cup blue cheese dressing, 1/4 cup blue cheese crumbles","[IngredientGroup(ingredients=['1 head iceberg lettuce', '4 slices bacon (cooked and diced)', '1 cup cherry tomatoes (diced)', '1 cup blue cheese dressing', '1/4 cup blue cheese crumbles'], purpose=None)]","Cut the lettuce. Remove the outer leaves of the iceberg lettuce to remove any torn leaves. Clean and dry iceberg lettuce. Cut head in half and then lengthwise into four equal-sized wedges.
Assemble the wedge salad. Plate the iceberg lettuce wedge. Top with diced cooked bacon and cut tomatoes. Top with blue cheese dressing and additional blue cheese crumbles.","{'carbohydrateContent': '11 g', 'proteinContent': '10 g', 'fatContent': '16 g', 'saturatedFatContent': '6 g', 'transFatContent': '0.03 g', 'cholesterolContent': '21 mg', 'sodiumContent': '844 mg', 'fiberContent': '2 g', 'sugarContent': '7 g', 'calories': '222 kcal', 'unsaturatedFatContent': '9 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2024/02/wedge-salad-recipe-3.jpg,5.0,"This Wedge Salad is crisp, refreshing, and delicious! Wedges of lettuce are topped with a creamy dressing, juicy tomatoes, salty bacon, and extra blue cheese crumbles.",Complete
Dressing,Classic Caesar Dressing Recipe,10,"2 tablespoons lemon juice, 1 clove garlic (minced), 1 teaspoon Worcestershire sauce (or coconut aminos), 1 1/2 teaspoons anchovy paste, 1 1/2 teaspoons Dijon mustard, 1 cup mayonnaise (or Greek yogurt), 1/2 cup finely grated Parmesan cheese, 1/4 teaspoon kosher salt, 1/4 teaspoon ground black pepper","[IngredientGroup(ingredients=['2 tablespoons lemon juice', '1 clove garlic (minced)', '1 teaspoon Worcestershire sauce (or coconut aminos)', '1 1/2 teaspoons anchovy paste', '1 1/2 teaspoons Dijon mustard', '1 cup mayonnaise (or Greek yogurt)', '1/2 cup finely grated Parmesan cheese', '1/4 teaspoon kosher salt', '1/4 teaspoon ground black pepper'], purpose=None)]","Whisk lemon juice, garlic, Worcestershire sauce, anchovy paste, and Dijon mustard until well combined. Add in mayonnaise (or Greek yogurt) and whisk until creamy.
Stir in parmesan cheese, salt and pepper. Serve or store.","{'servingSize': '2 tablespoons', 'calories': '27 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '3 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'transFatContent': '0.001 g', 'cholesterolContent': '4 mg', 'sodiumContent': '144 mg', 'fiberContent': '0.04 g', 'sugarContent': '1 g', 'unsaturatedFatContent': '0.4 g'}",Italian,14 servings,https://addapinch.com/wp-content/uploads/2024/02/caesar-dressing-recipe-11.jpg,4.97,Easy Caesar Dressing is creamy and delicious! A restaurant-style caesar salad dressing made at home with just a few ingredients!,Complete
Salad,Fruit Salad Recipe,15,"1 cup strawberries (sliced), 1 cup blueberries, 1 cup grapes, 1 cup diced apples, 1 cup diced pineapple, 1/2 cup vanilla yogurt, 1/2 cup whipped cream","[IngredientGroup(ingredients=['1 cup strawberries (sliced)', '1 cup blueberries', '1 cup grapes', '1 cup diced apples', '1 cup diced pineapple'], purpose=None), IngredientGroup(ingredients=['1/2 cup vanilla yogurt', '1/2 cup whipped cream'], purpose='Fruit Salad Dressing:')]",Add all of the fruit to a large mixing bowl. Fold in the yogurt and whipped cream. Serve or refrigerate until ready to serve.,"{'calories': '86 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '1 g', 'fatContent': '4 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '11 mg', 'sodiumContent': '6 mg', 'fiberContent': '2 g', 'sugarContent': '10 g', 'unsaturatedFatContent': '1.2 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2023/11/fruit-salad-recipe-0008.jpg,5.0,This easy fruit salad recipe is made with fresh fruit and a creamy yogurt dressing. Ready in minutes and a great make-ahead recipe.,Complete
"Lunch,Main Course",Chicken Caesar Salad Wrap Recipe,15,"2 cups cooked chicken (sliced, chopped, or shredded), 1 head Romaine lettuce (chopped or as whole leaves), 1/4 cup Caesar salad dressing (plus more as desired), 4 large tortillas (flour, whole wheat, or spinach), 1/4 cup grated Parmesan cheese, 1/4 cup Homemade Croutons","[IngredientGroup(ingredients=['2 cups cooked chicken (sliced, chopped, or shredded)', '1 head Romaine lettuce (chopped or as whole leaves)', '1/4 cup Caesar salad dressing (plus more as desired)', '4 large tortillas (flour, whole wheat, or spinach)'], purpose=None), IngredientGroup(ingredients=['1/4 cup grated Parmesan cheese', '1/4 cup Homemade Croutons'], purpose='Optional Ingredients')]","Add 1 tablespoon Caesar Salad Dressing to the inside of one tortilla. Spread to coat the inside of the tortilla with a knife or the back of a spoon.
Layer the Romaine lettuce, chicken, and optional ingredients onto the Caesar dressing coated tortilla.
Fold the tortilla around the ingredients as you would a burrito. Secure the wrap with a toothpick if needed. Slice in half if you prefer.","{'calories': '315 kcal', 'carbohydrateContent': '20 g', 'proteinContent': '22 g', 'fatContent': '16 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '58 mg', 'sodiumContent': '464 mg', 'fiberContent': '4 g', 'sugarContent': '3 g', 'unsaturatedFatContent': '11 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2023/08/Chicken-Caesar-Wrap0010-1.jpg,5.0,This Chicken Caesar Wrap recipe makes a quick and easy recipe ready in 15 minutes! Perfect for a delicious lunch or dinner everyone will love!,Complete
"Lunch,Main Course",Classic Chicken Salad Recipe,15,"2 cups chicken (cooked and chopped), 1/2 cup mayonnaise, 1 stalk celery (diced), 1 green onions (sliced), 1 teaspoon lemon juice, 1 teaspoon Stone House Seasoning, 1 teaspoon fresh dill (optional)","[IngredientGroup(ingredients=['2 cups chicken (cooked and chopped)', '1/2 cup mayonnaise', '1 stalk celery (diced)', '1 green onions (sliced)', '1 teaspoon lemon juice', '1 teaspoon Stone House Seasoning', '1 teaspoon fresh dill (optional)'], purpose=None)]",Combine all ingredients in a medium bowl and serve.,"{'calories': '135 kcal', 'carbohydrateContent': '2 g', 'proteinContent': '20 g', 'fatContent': '5 g', 'saturatedFatContent': '1 g', 'transFatContent': '0.003 g', 'cholesterolContent': '54 mg', 'sodiumContent': '651 mg', 'fiberContent': '0.2 g', 'sugarContent': '1 g', 'unsaturatedFatContent': '3 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2023/08/Classic-Chicken-Salad-Recipe0431-.jpg,5.0,"This Classic Chicken Salad is made with tender chicken, creamy mayonnaise, lemon juice, crunchy celery, and is ready in minutes!",Complete
Salad,Grilled Chicken Salad with Pesto Ranch Dressing Recipe,40,"1 tablespoon olive oil, 4 boneless, skinless chicken breasts, 8 - 10 ounces spring salad greens, 2 cucumber (halved lengthwise and sliced), 1 cup grape tomatoes (halved), 1/4 red onion (diced), 2 (4-ounce) mozzarella balls (course, cuisine, keywords, nutrition), 4 teaspoons pesto (divided), salt and pepper (to taste), 1/2 cup Buttermilk Ranch Dressing Recipe, 3 tablespoons pesto","[IngredientGroup(ingredients=['1 tablespoon olive oil', '4 boneless, skinless chicken breasts', '8 - 10 ounces spring salad greens', '2 cucumber (halved lengthwise and sliced)', '1 cup grape tomatoes (halved)', '1/4 red onion (diced)', '2 (4-ounce) mozzarella balls (course, cuisine, keywords, nutrition)', '4 teaspoons pesto (divided)', 'salt and pepper (to taste)'], purpose=None), IngredientGroup(ingredients=['1/2 cup Buttermilk Ranch Dressing Recipe', '3 tablespoons pesto'], purpose='Pesto Ranch Dressing')]","Drizzle or brush olive oil onto grill or grill pan set over medium heat. Grill chicken on both sides until browned and completely cooked through. The time will depend on the thickness of the chicken breasts, but should register 165º F when tested with an instant read thermometer. Allow the chicken to rest about 5 minutes.
Meanwhile, add the salad greens to a large salad bowl or platter. Add cucumbers, tomatoes, red onion, and mozzarella (or burrata) to the salad.
Once the chicken is ready, cut into slices and add to the top of the salad. Top with a spoonful of pesto and serve with dressing on the side.
Pesto Ranch Dressing:
Stir together the ingredients for the ranch dressing as directed in the recipe. Add the pesto to the ranch dressing and stir until well combined.","{'calories': '240 kcal', 'carbohydrateContent': '9 g', 'proteinContent': '27 g', 'fatContent': '10 g', 'saturatedFatContent': '2 g', 'transFatContent': '1 g', 'cholesterolContent': '73 mg', 'sodiumContent': '207 mg', 'fiberContent': '2 g', 'sugarContent': '3 g', 'unsaturatedFatContent': '4 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2017/06/grilled-chicken-salad-with-pesto-ranch-dressing-recipe_DSC5426.jpg,5.0,"Grilled Chicken Salad with Pesto Ranch Dressing Recipe makes a delicious salad with cucumbers, tomatoes, onion, mozzarella topped with grilled chicken and a pesto ranch dressing!",Complete
Salad,Grilled Chicken Fiesta Salad Recipe,30,"4 - 6 cups salad greens, 2 chicken breasts (grilled and sliced), 1 ear corn (grilled and removed from the cob), 1 (15-ounce) can black beans (drained and rinsed), 1 pint cherry tomatoes (halved or quartered), 1/2 medium red onion (sliced thinly), 1 cup crushed tortilla chips, 1/4 cup cilantro, 1 cup salsa recipe (or store-bought), 1 medium avocado, 1 medium lime","[IngredientGroup(ingredients=['4 - 6 cups salad greens', '2 chicken breasts (grilled and sliced)', '1 ear corn (grilled and removed from the cob)', '1 (15-ounce) can black beans (drained and rinsed)', '1 pint cherry tomatoes (halved or quartered)', '1/2 medium red onion (sliced thinly)', '1 cup crushed tortilla chips', '1/4 cup cilantro', '1 cup salsa recipe (or store-bought)', '1 medium avocado', '1 medium lime'], purpose=None)]","Grill the chicken breasts over direct heat at 400ºF for 6 to 8 minutes. Carefully flip the chicken breasts and cook until the chicken reaches 160º F - 165º F when checked with an internal thermometer, about 6 to 8 more minutes. Remove from the grill and let the chicken rest for 5 minutes before slicing.
Arrange salad greens on a large platter or toss into a large bowl. Top with grilled chicken slices, corn, black beans, tomatoes, onion, crushed tortilla chips, and torn fresh cilantro.
Pour salsa into a small cup and place on the platter alongside the salad for serving. Halve the avocado and place alongside the salad, or go ahead and dice and toss into the salad. Slice the lime and squeeze the lime juice over the salad and serve.","{'servingSize': '1 cup', 'calories': '354 kcal', 'carbohydrateContent': '34 g', 'proteinContent': '32 g', 'fatContent': '10 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '73 mg', 'sodiumContent': '671 mg', 'fiberContent': '4 g', 'sugarContent': '6 g'}",American,4 servings,https://addapinch.com/wp-content/uploads/2018/06/grilled-chicken-fiesta-salad-recipe_DSC0069-scaled.jpg,5.0,Grilled Chicken Fiesta Salad Recipe - This simple grilled chicken salad recipe is kicked up a notch for a spicy Tex-Mex favorite!,Complete
Salad,Easy Chicken Club Salad Recipe,10,"6 cups salad greens, 3 medium chicken breasts (cooked, cooled and sliced or rotisserie chicken), 6 slices bacon (cooked, cooled and chopped), 1 pint grape tomatoes (halved), 4 large hard boiled eggs (quartered), 1 large cucumber (peeled and chopped), 1/2 cup shredded cheese, 4 slices ham or turkey (stacked, rolled and sliced)","[IngredientGroup(ingredients=['6 cups salad greens', '3 medium chicken breasts (cooked, cooled and sliced or rotisserie chicken)', '6 slices bacon (cooked, cooled and chopped)', '1 pint grape tomatoes (halved)', '4 large hard boiled eggs (quartered)', '1 large cucumber (peeled and chopped)', '1/2 cup shredded cheese', '4 slices ham or turkey (stacked, rolled and sliced)'], purpose=None)]",Layer salad greens onto a large platter. Arrange chicken in the center on top of the salad greens. Then arrange rows of the remaining ingredients on top of the salad greens. Serve with your favorite dressing.,"{'calories': '372 kcal', 'carbohydrateContent': '6 g', 'proteinContent': '39 g', 'fatContent': '21 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '230 mg', 'sodiumContent': '613 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2019/05/club-salad-recipe-635-scaled.jpg,5.0,"This Easy Chicken Club Salad Recipe is a delicious twist on the favorite layered club sandwich. Made of tender chicken, bacon, tomatoes, and so much more! It is always a favorite!",Complete
"Salad,Side Dish",Grilled Corn Salad Recipe,25,"2 ears corn, 2 medium tomatoes (or 1/2 pint grape tomatoes, quartered), 1 medium jalapeno pepper (seeded and diced), 2 medium green onions (sliced), 1 large avocado (peeled and diced), 1 large lime, cilantro, kosher salt","[IngredientGroup(ingredients=['2 ears corn', '2 medium tomatoes (or 1/2 pint grape tomatoes, quartered)', '1 medium jalapeno pepper (seeded and diced)', '2 medium green onions (sliced)', '1 large avocado (peeled and diced)', '1 large lime', 'cilantro', 'kosher salt'], purpose=None)]","Preheat the grill or grill pan to high heat. If needed, brush the grill or grill pan with olive oil to prevent sticking.
Prepare the corn for grilling. If already shucked, remove all of the silks from the corn. If in the shucks, you can optionally shuck and silk the corn or leave in the shucks for grilling.
Grill the corn for 15 - 20 minutes, turning every 5 minutes until the corn or the corn husk has a slight char and/ or grill marks. Remove the corn from the grill and allow to cool enough to handle. Once cooled slightly, place the corn cob on the tip on top of a cutting board. Using a sharp knife, carefully cut the corn kernels away from the cob. Repeat with the second cob of corn.
Place the tomatoes, jalapeno, and sliced onions in a medium bowl. Add the corn, avocado, lime juice, cilantro and salt. Gently toss to combine. Transfer to a serving bowl and serve.","{'calories': '92 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '2 g', 'fatContent': '5 g', 'saturatedFatContent': '1 g', 'sodiumContent': '61 mg', 'fiberContent': '3 g', 'sugarContent': '2 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2019/06/grilled-corn-salad-recipe-1210-scaled.jpg,5.0,"This mouthwatering Grilled Corn Salad is loaded with fresh corn, creamy avocado, fresh tomato, jalapeno, and more, all tossed in fresh cilantro and lime. Such an easy and delicious corn salad that is perfect for cookouts and summer barbecues!",Complete
"Appetizer,Salad,Snack",Honey Lime Fruit Salad Recipe,15,"1 pound fresh strawberries (hulled and sliced), 10 ounces fresh blueberries, 10 ounces fresh raspberries, 10 ounces fresh blackberries, 1/2 whole pineapple (cored and cut into 1-inch chunks, or 1 (8-ounce) can pineapple chunks (with juices reserved)), 1 whole kiwi (peeled and diced), 2 cups red grapes (or green grapes, if preferred. Use whole or slice in half.), 2 mandarin oranges (peeled and sectioned, or 1 (8.25-ounce) can), 3 tablespoons honey, 1 tablespoon lime juice, 2 tablespoon pineapple juice","[IngredientGroup(ingredients=['1 pound fresh strawberries (hulled and sliced)', '10 ounces fresh blueberries', '10 ounces fresh raspberries', '10 ounces fresh blackberries', '1/2 whole pineapple (cored and cut into 1-inch chunks, or 1 (8-ounce) can pineapple chunks (with juices reserved))', '1 whole kiwi (peeled and diced)', '2 cups red grapes (or green grapes, if preferred. Use whole or slice in half.)', '2 mandarin oranges (peeled and sectioned, or 1 (8.25-ounce) can)'], purpose=None), IngredientGroup(ingredients=['3 tablespoons honey', '1 tablespoon lime juice', '2 tablespoon pineapple juice'], purpose='For the Honey Lime Dressing')]","Prep. Wash and cut up all of the fruit as needed. Add the fruit to a large bowl.
Make the dressing. In a small bowl, whisk together the honey, lime, and pineapple juice.
Assemble the fruit salad. When ready to serve, pour the dressing over the prepared fruit and gently toss to coat.","{'calories': '109 kcal', 'carbohydrateContent': '27 g', 'proteinContent': '2 g', 'fatContent': '1 g', 'saturatedFatContent': '0.05 g', 'sodiumContent': '3 mg', 'fiberContent': '6 g', 'sugarContent': '20 g', 'unsaturatedFatContent': '0.4 g', 'servingSize': '1 serving'}",American,10 servings,https://addapinch.com/wp-content/uploads/2017/06/honey-lime-fruit-salad-recipe-DSC_0506-scaled.jpg,5.0,"Honey Lime Fruit Salad makes the best fruit salad recipe! Colorful, juicy fruits with a honey and lime dressing make this a refreshing and incredibly delicious crowd favorite.",Complete
