Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Main Course,Swedish Meatballs Recipe,30,"1 pound ground beef, 2 tablespoons diced onion, 1 large egg, 1 1/2 teaspoons Stone House Seasoning, 1/4 teaspoon ground allspice (optional), 1/4 teaspoon ground nutmeg (optional), 2 tablespoons bread or cracker crumbs, 2 tablespoons chopped fresh parsley, olive oil, 2 tablespoons butter, 3 tablespoons all-purpose flour, 2 cups beef stock or broth, 1 cup whole milk or heavy cream, 1 teaspoon Stone House Seasoning, 2 teaspoons Worcestershire sauce, 2 tablespoons chopped fresh parsley (optional)","[IngredientGroup(ingredients=['1 pound ground beef', '2 tablespoons diced onion', '1 large egg', '1 1/2 teaspoons Stone House Seasoning', '1/4 teaspoon ground allspice (optional)', '1/4 teaspoon ground nutmeg (optional)', '2 tablespoons bread or cracker crumbs', '2 tablespoons chopped fresh parsley', 'olive oil'], purpose='For the meatballs:'), IngredientGroup(ingredients=['2 tablespoons butter', '3 tablespoons all-purpose flour', '2 cups beef stock or broth', '1 cup whole milk or heavy cream', '1 teaspoon Stone House Seasoning', '2 teaspoons Worcestershire sauce', '2 tablespoons chopped fresh parsley (optional)'], purpose='For the sauce:')]","For the meatballs:
Mix together all ingredients for the meatballs. Set aside.
Using a tablespoon scoop or spoon, form meatballs from the ground beef mixture. Heat 12-inch skillet or saute pan over medium heat. Drizzle in enough olive oil to lightly coat the bottom of the skillet to prevent meatballs from sticking. Drop formed meatballs into the heated skillet, turning occasionally to ensure that all sides of the meatball have been browned, about 7-10 minutes. The meatballs should reach an internal temperature of 165º F. Remove the meatballs from the skillet or saute pan and drain on a plate lined with paper towels.
For the sauce:
Reduce the heat on the skillet or saute pan to medium-low heat. Melt butter and whisk in flour until it has turned golden brown. Slowly whisk in beef broth and cook until thickened, then add in milk or cream, worcestershire sauce, pepper, and salt. Continue to stir until well-combined. Add meatballs back into the skillet, turning to coat well. Add fresh parsley, if using.","{'calories': '220 kcal', 'carbohydrateContent': '8 g', 'proteinContent': '20 g', 'fatContent': '11 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '91 mg', 'sodiumContent': '1054 mg', 'sugarContent': '2 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2022/10/swedish-meatballs-recipe_14.jpg,4.95,"The Best Swedish Meatballs feature tender meatballs in a rich, creamy sauce! These savory meatballs are ready in 30 minutes for a delicious dinner or satisfying appetizer!",Complete
"Appetizer,Main Course",Baked Crispy Buffalo Chicken Wings Recipe,60,"6 pounds chicken wings (trimmed), 3 tablespoons cornstarch, 1 teaspoon Stone House Seasoning, 1 recipe Buffalo Sauce, Blue Cheese Dressing (optional), Ranch Dressing (optional)","[IngredientGroup(ingredients=['6 pounds chicken wings (trimmed)', '3 tablespoons cornstarch', '1 teaspoon Stone House Seasoning', '1 recipe Buffalo Sauce', 'Blue Cheese Dressing (optional)', 'Ranch Dressing (optional)'], purpose=None)]","Preheat the oven to 425º F. Line a baking sheet with parchment paper or foil and arrange a wire rack on the lined baking sheet. Spray the wire rack with nonstick cooking spray or spritz with olive oil.
Pat the chicken wings dry with a paper towel and place in a large bowl.
Whisk together the cornstarch and Stone House Seasoning in a small bowl. Pour the cornstarch and seasoning mix over the chicken wings and toss until all are well coated.
Remove each coated chicken wing and place onto the prepared wire rack lined baking sheet. Repeat until all of the chicken wings have been coated. Place into the oven and bake until the chicken has cooked through and the skin is crispy, 50 to 55 minutes. If you prefer your chicken wings on the drier side, return them to the oven for another 5 to 8 minutes once they have been coated in the buffalo sauce and then serve.
Meanwhile, prepare the buffalo sauce according to the recipe. Once the chicken wings have cooked, remove them from the oven and lightly toss in the buffalo sauce until well coated. Serve hot with the blue cheese dip and / or ranch dressing.","{'servingSize': '0.25 pound', 'calories': '419 kcal', 'carbohydrateContent': '2 g', 'proteinContent': '33 g', 'fatContent': '29 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '141 mg', 'sodiumContent': '138 mg'}",American,8 servings,https://addapinch.com/wp-content/uploads/2018/10/baked-buffalo-chicken-wings-recipe-DSC_0423-scaled.jpg,5.0,Crispy Baked Buffalo Chicken Wings that are so deliciously crispy you might think they are deep-fried! This easy chicken wings recipe has tips for making the perfect wings at home!,Complete
Appetizer,Cranberry Salsa over Cream Cheese Recipe,5,"1 (12-ounce) package fresh cranberries, 1/2 cup granulated sugar, 1 medium jalapeno pepper (deseeded and chopped), 2 tablespoons sliced green onions, 1/4 cup cilantro, 1 tablespoon orange zest, 2 tablespoons orange juice, 1 (8-ounce) package cream cheese (softened, for serving), crackers or fruit slices (for serving)","[IngredientGroup(ingredients=['1 (12-ounce) package fresh cranberries', '1/2 cup granulated sugar', '1 medium jalapeno pepper (deseeded and chopped)', '2 tablespoons sliced green onions', '1/4 cup cilantro', '1 tablespoon orange zest', '2 tablespoons orange juice', '1 (8-ounce) package cream cheese (softened, for serving)', 'crackers or fruit slices (for serving)'], purpose=None)]","Add cranberries and sugar to a food processor and pulse until coarsely chopped, about 30 pulses. Stir in jalapeno, onion, cilantro, orange zest, and orange juice, and pulse a few times until these ingredients are roughly chopped and blended with the cranberries. Cover and store in the refrigerator for at least 30 minutes to overnight.
To serve, arrange cream cheese on a serving tray, strain away juices from the cranberry salsa, and spoon on top of the cream cheese. Serve with assorted crackers or fruit slices. The salsa can also be served on its own with tortilla chips.","{'calories': '53 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '1 g', 'fatContent': '6 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2023/11/cranberry-salsa-recipe-000033.jpg,5.0,"Cranberry Salsa over Cream Cheese is a quick appetizer perfect for the holidays! It's fresh, tangy, delicious, ready in minutes, and an easy make-ahead recipe! Delicious served with crackers, fruit, or chips. You can also serve the fresh, zesty cranberry salsa with chips or over beef, fish, and sandwiches!",Complete
"Appetizer,Snack",Easy Apple Dip Recipe,3,"1 (8-ounce) package cream cheese, softened, 1/2 cup packed brown sugar, 1/2 cup sugar, 1 teaspoon vanilla extract, pinch Kosher salt","[IngredientGroup(ingredients=['1 (8-ounce) package cream cheese, softened', '1/2 cup packed brown sugar', '1/2 cup sugar', '1 teaspoon vanilla extract', 'pinch Kosher salt'], purpose=None)]","Add the softened cream cheese, brown sugar, sugar, vanilla extract, and salt to a mixing bowl. Using a hand mixer, blend until smooth, well combined, and fluffy - about 2 minutes.
Transfer the dip to a serving bowl and serve with sliced apples, pears, other fruit, graham crackers, or pretzels.","{'calories': '102 kcal', 'carbohydrateContent': '26 g', 'proteinContent': '1 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '1 mg', 'sodiumContent': '4 mg', 'sugarContent': '26 g', 'unsaturatedFatContent': '2 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2023/10/apple-dip-recipe-6.jpg,5.0,"Easy Apple Dip Recipe - Sweet, creamy Apple Dip is easy and delicious for parties and snacks! Ready in minutes from just a few ingredients, it's an addictive dip for apples, pretzels, and more!",Complete
"Breakfast,Snack",Homemade Granola Recipe,30,"4 cups rolled oats, 2 cups nuts (pecans, walnuts, cashews, pistachios, peanuts, or sliced almonds), 1 1/2 teaspoons fine sea salt (or 3/4 teaspoon table salt), 2 teaspoons ground cinnamon, 1/2 cup coconut oil (melted, or extra-virgin olive oil), 1/2 cup honey (or maple syrup), 1 teaspoon vanilla extract, 2 cups dried fruits (your choice of cranberries, cherries, raisins, apricots, apples, or bananas. Chopped, if large), 1/4 cup chia seeds (optional), 1/4 cup hemp hearts (optional), 1 cup unsweetened coconut flake (optional), 1/2 cup chocolate chips (optional, add after the granola has completely cooled)","[IngredientGroup(ingredients=['4 cups rolled oats', '2 cups nuts (pecans, walnuts, cashews, pistachios, peanuts, or sliced almonds)', '1 1/2 teaspoons fine sea salt (or 3/4 teaspoon table salt)', '2 teaspoons ground cinnamon', '1/2 cup coconut oil (melted, or extra-virgin olive oil)', '1/2 cup honey (or maple syrup)', '1 teaspoon vanilla extract', '2 cups dried fruits (your choice of cranberries, cherries, raisins, apricots, apples, or bananas. Chopped, if large)'], purpose=None), IngredientGroup(ingredients=['1/4 cup chia seeds (optional)', '1/4 cup hemp hearts (optional)', '1 cup unsweetened coconut flake (optional)', '1/2 cup chocolate chips (optional, add after the granola has completely cooled)'], purpose='Optional Ingredients')]","Preheat oven to 350º F. Line a rimmed baking sheet with parchment paper.
Add the oats, nuts, fine sea salt, cinnamon, melted coconut oil or olive oil, honey or maple syrup, and vanilla extract in a large bowl. Add the chia seeds and hemp hearts, if using. Stir together until well combined. Pour the mixture into the parchment lined baking sheet and spread evenly.
Place in preheated oven and bake for 10 minutes. If using unsweetened coconut flake, add it at this point. Stir the granola and lightly press down with the spatula to form clumps in the granola. Bake until lightly browned and fragrant, about another 10 - 14 minutes. Remove from the oven and stir in the dried fruits. If using chocolate chips, cool completely before adding them to the granola.
Allow to cool for 5 minutes and serve warm or allow to cool completely and store in airtight container.","{'servingSize': '0.25 cup', 'calories': '218 kcal', 'carbohydrateContent': '28 g', 'proteinContent': '4 g', 'fatContent': '12 g', 'saturatedFatContent': '5 g', 'sodiumContent': '151 mg', 'fiberContent': '3 g', 'sugarContent': '6 g', 'unsaturatedFatContent': '6 g'}",American,24 servings,https://addapinch.com/wp-content/uploads/2010/12/The-Best-Homemade-Granola-Recipe0380-.jpg,5.0,"This delicious homemade granola recipe is quick and easy! Made with oats, nuts, coconut oil, and more, and is naturally sweetened with honey or maple syrup! It makes the best homemade granola!",Complete
"Appetizer,Lunch,Main Course",Air Fryer BBQ Chicken Wings Recipe,20,"2 pounds chicken wings, 1/2 cup BBQ Sauce (homemade or storebought)","[IngredientGroup(ingredients=['2 pounds chicken wings', '1/2 cup BBQ Sauce (homemade or storebought)'], purpose=None)]","Prep. Preheat air fryer to 400º F. Pat chicken wings dry with a paper towel.
Coat the chicken wings. Brush the chicken wings with the bbq sauce.
Cook the chicken wings. Place in a single layer into the air fryer and cook for 10 minutes. Flip and cook until the chicken wings reach 165º F in the thickest part when checked with an instant-read thermometer, about 5 more minutes.
Serve. Remove from the air fryer and serve with additional BBQ sauce, if desired.","{'calories': '333 kcal', 'carbohydrateContent': '15 g', 'proteinContent': '23 g', 'fatContent': '20 g', 'saturatedFatContent': '6 g', 'transFatContent': '0.2 g', 'cholesterolContent': '94 mg', 'sodiumContent': '458 mg', 'fiberContent': '0.3 g', 'sugarContent': '12 g', 'unsaturatedFatContent': '12 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2023/08/Air-Fryer-Crispy-BBQ-Chicken-Wings-Recipe0372-.jpg,5.0,"These Air Fryer BBQ Chicken Wings are quick, easy, and delicious! Done in less than 20 minutes, these are crowd-favorite chicken wings!",Complete
Dessert,Watermelon Skewers Recipe,15,"1 medium watermelon, 2 - 3 pints blueberries","[IngredientGroup(ingredients=['1 medium watermelon', '2 - 3 pints blueberries'], purpose=None)]","Cut the watermelon. Slice your watermelon into 1-inch thick slices. Cut into cubes or use a 3 to 4-inch wide star cookie cutter to cut into the star shape. You can also use other favorite cookie cutters for a variety of shapes.
Assemble. Skewer 3 to 5 fresh blueberries onto each chopstick or bamboo skewer followed by a piece of watermelon for the top of the skewer. Repeat until all skewers are assembled.
Store or serve. Store the assembled skewers in an airtight container if not serving immediately.","{'calories': '79 kcal', 'carbohydrateContent': '20 g', 'proteinContent': '1 g', 'fatContent': '0.4 g', 'saturatedFatContent': '0.04 g', 'sodiumContent': '2 mg', 'fiberContent': '2 g', 'sugarContent': '16 g', 'unsaturatedFatContent': '0.3 g', 'servingSize': '1 serving'}",American,24 servings,https://addapinch.com/wp-content/uploads/2015/07/watermelon-skewers-DSC_18512-1.jpg,5.0,"These easy Watermelon Skewers are perfect for celebrations and parties! Made with fresh fruit, they are fun and delicious treat!",Complete
Appetizer,Zucchini Chips Recipe,35,"3 medium zucchini (sliced into 1/4-inch rounds), olive oil spray, 3 tablespoons grated Parmesan cheese, 1 tablespoon chopped fresh parsley, 1 teaspoon Stone House Seasoning, 1 teaspoon kosher salt (for salting to remove excess moisture at the beginning before baking)","[IngredientGroup(ingredients=['3 medium zucchini (sliced into 1/4-inch rounds)', 'olive oil spray', '3 tablespoons grated Parmesan cheese', '1 tablespoon chopped fresh parsley', '1 teaspoon Stone House Seasoning', '1 teaspoon kosher salt (for salting to remove excess moisture at the beginning before baking)'], purpose=None)]","Preheat oven to 425º F and place a fitted wire rack on a rimmed baking sheet.
Slice the zucchini into thin 1/4-inch slices using a mandoline or food processor.
Salt the zucchini slices with 1 teaspoon of kosher salt to extract excess moisture from the zucchini. Allow to sit on a wire rack on a rimmed baking sheet or in a colander in the sink for about 30 minutes, but no longer. Pat dry with a paper towel to remove the extracted water.
Arrange zucchini slices on the baking sheet fitted with a wire rack, leaving room between each slice. Spray lightly with olive oil spray. If you don't use olive oil spray, lightly brush olive oil or melted butter on the tops of the zucchini slices.
Mix together grated Parmesan, chopped parsley, and Stone House Seasoning. Sprinkle zucchini with the Parmesan mixture.
Place in preheated oven and bake until cheese is melted and zucchini reaches desired crispness (total about 30 minutes), checking during bake time to prevent burning. The bake time may vary by a few minutes either less or more according to the oven and the thickness of the slice of zucchini.
Remove from oven and serve.","{'calories': '41 kcal', 'carbohydrateContent': '5 g', 'proteinContent': '3 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '3 mg', 'sodiumContent': '1241 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'unsaturatedFatContent': '0.5 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2023/06/parmesan-zucchini-chips-recipe_removed-text.jpg,5.0,"Zucchini chips make an easy, delicious snack, side or appetizer! These Parmesan Black Pepper Zucchini Chips are full of flavor and so light and crispy!",Complete
"Breakfast,Main Course",Mini Quiche Recipe,20,"1 Pie Crust Recipe (optional), 6 large eggs (beaten), 1 cup heavy cream or half-and-half, Salt and pepper, pinch cayenne pepper, 1 1/2 cups grated cheddar cheese, spinach (chopped), broccoli (chopped), mushrooms (cleaned and diced), onion (diced), garlic (minced), bacon (cooked and crumbled), ham (cooked and diced), seafood (cooked and chopped)","[IngredientGroup(ingredients=['1 Pie Crust Recipe (optional)', '6 large eggs (beaten)', '1 cup heavy cream or half-and-half', 'Salt and pepper', 'pinch cayenne pepper', '1 1/2 cups grated cheddar cheese'], purpose=None), IngredientGroup(ingredients=['spinach (chopped)', 'broccoli (chopped)', 'mushrooms (cleaned and diced)', 'onion (diced)', 'garlic (minced)', 'bacon (cooked and crumbled)', 'ham (cooked and diced)', 'seafood (cooked and chopped)'], purpose='Optional Add-ins:')]","Preheat oven to 375º F.
Spray mini muffin tin with nonstick cooking spray, set aside.
Using a small round cutter, cut pie crust and place into indentations of muffin tin and place in the oven to pre-bake for about 15 minutes. Alternately, you can place each of the premade phyllo cups into the muffin tin. For a crustless mini quiche, simply omit.
Whisk together eggs and heavy cream or half-and-half until light and fluffy. Add salt, pepper, and cayenne pepper until well-combined. Stir in cheese. Pour into pie shells and top with add-in options as desired. Bake for for 15-25 minutes until the egg mixture is set. Remove from the oven and let rest about 5 minutes before serving.
Serve warm.","{'servingSize': '1 mini quiche', 'calories': '73 kcal', 'carbohydrateContent': '3 g', 'proteinContent': '2 g', 'fatContent': '6 g', 'saturatedFatContent': '3 g', 'transFatContent': '0.002 g', 'cholesterolContent': '36 mg', 'sodiumContent': '41 mg', 'fiberContent': '0.1 g', 'sugarContent': '0.2 g', 'unsaturatedFatContent': '1.4 g'}",American,48 servings,https://addapinch.com/wp-content/uploads/2016/01/quiche-recipe-DSC_4459-2.jpg,4.81,"This delicious mini quiche recipe is a favorite quiche recipe for breakfast, brunch, or parties! Fluffy quiche in a flaky pie crust is simple to personalize with optional ingredients and easy to make ahead!",Complete
Appetizer,Simple Caprese Salad Skewers,15,"48 grape or cherry tomatoes, 24 balls mozzarella cheese, 24 fresh basil leaves, balsamic glaze, kosher salt, ground black pepper","[IngredientGroup(ingredients=['48 grape or cherry tomatoes', '24 balls mozzarella cheese', '24 fresh basil leaves', 'balsamic glaze', 'kosher salt', 'ground black pepper'], purpose=None)]","Place 1 grape tomato on end of skewer. Carefully skewer one tip of the basil leaf onto the skewer followed by the mozzarella cheese and then the other end of the basil leaf. Add a second tomato onto the end of the skewer and place onto a parchment lined baking sheet if making ahead or a serving tray if serving immediately.
Repeat until all skewers have been assembled.
When ready to serve, drizzle Caprese Salad Skewers with balsamic glaze and sprinkle with salt and pepper.","{'servingSize': '2 skewers', 'calories': '18 kcal', 'carbohydrateContent': '2 g', 'proteinContent': '1 g', 'cholesterolContent': '1 mg', 'sodiumContent': '20 mg', 'sugarContent': '1 g'}",American,12 servings,https://addapinch.com/wp-content/uploads/2011/08/caprese-skewers-recipe-0309-scaled.jpg,5.0,"These tasty Caprese Salad Skewers are a quick and easy appetizer to make in minutes! Juicy tomatoes, creamy mozzarella, fresh basil, and homemade balsamic glaze make a simple, yet impressive party food!",Complete
