Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Main Course,Swedish Meatballs Recipe,30,"1 pound ground beef, 2 tablespoons diced onion, 1 large egg, 1 1/2 teaspoons Stone House Seasoning, 1/4 teaspoon ground allspice (optional), 1/4 teaspoon ground nutmeg (optional), 2 tablespoons bread or cracker crumbs, 2 tablespoons chopped fresh parsley, olive oil, 2 tablespoons butter, 3 tablespoons all-purpose flour, 2 cups beef stock or broth, 1 cup whole milk or heavy cream, 1 teaspoon Stone House Seasoning, 2 teaspoons Worcestershire sauce, 2 tablespoons chopped fresh parsley (optional)","IngredientGroup(ingredients=['1 pound ground beef', '2 tablespoons diced onion', '1 large egg', '1 1/2 teaspoons Stone House Seasoning', '1/4 teaspoon ground allspice (optional)', '1/4 teaspoon ground nutmeg (optional)', '2 tablespoons bread or cracker crumbs', '2 tablespoons chopped fresh parsley', 'olive oil'], purpose='For the meatballs:'), IngredientGroup(ingredients=['2 tablespoons butter', '3 tablespoons all-purpose flour', '2 cups beef stock or broth', '1 cup whole milk or heavy cream', '1 teaspoon Stone House Seasoning', '2 teaspoons Worcestershire sauce', '2 tablespoons chopped fresh parsley (optional)'], purpose='For the sauce:')","For the meatballs:
Mix together all ingredients for the meatballs. Set aside.
Using a tablespoon scoop or spoon, form meatballs from the ground beef mixture. Heat 12-inch skillet or saute pan over medium heat. Drizzle in enough olive oil to lightly coat the bottom of the skillet to prevent meatballs from sticking. Drop formed meatballs into the heated skillet, turning occasionally to ensure that all sides of the meatball have been browned, about 7-10 minutes. The meatballs should reach an internal temperature of 165º F. Remove the meatballs from the skillet or saute pan and drain on a plate lined with paper towels.
For the sauce:
Reduce the heat on the skillet or saute pan to medium-low heat. Melt butter and whisk in flour until it has turned golden brown. Slowly whisk in beef broth and cook until thickened, then add in milk or cream, worcestershire sauce, pepper, and salt. Continue to stir until well-combined. Add meatballs back into the skillet, turning to coat well. Add fresh parsley, if using.","{'calories': '220 kcal', 'carbohydrateContent': '8 g', 'proteinContent': '20 g', 'fatContent': '11 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '91 mg', 'sodiumContent': '1054 mg', 'sugarContent': '2 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2022/10/swedish-meatballs-recipe_14.jpg,4.95,"The Best Swedish Meatballs feature tender meatballs in a rich, creamy sauce! These savory meatballs are ready in 30 minutes for a delicious dinner or satisfying appetizer!",Complete
"Appetizer,Main Course",Baked Crispy Buffalo Chicken Wings Recipe,60,"6 pounds chicken wings (trimmed), 3 tablespoons cornstarch, 1 teaspoon Stone House Seasoning, 1 recipe Buffalo Sauce, Blue Cheese Dressing (optional), Ranch Dressing (optional)","IngredientGroup(ingredients=['6 pounds chicken wings (trimmed)', '3 tablespoons cornstarch', '1 teaspoon Stone House Seasoning', '1 recipe Buffalo Sauce', 'Blue Cheese Dressing (optional)', 'Ranch Dressing (optional)'], purpose=None)","Preheat the oven to 425º F. Line a baking sheet with parchment paper or foil and arrange a wire rack on the lined baking sheet. Spray the wire rack with nonstick cooking spray or spritz with olive oil.
Pat the chicken wings dry with a paper towel and place in a large bowl.
Whisk together the cornstarch and Stone House Seasoning in a small bowl. Pour the cornstarch and seasoning mix over the chicken wings and toss until all are well coated.
Remove each coated chicken wing and place onto the prepared wire rack lined baking sheet. Repeat until all of the chicken wings have been coated. Place into the oven and bake until the chicken has cooked through and the skin is crispy, 50 to 55 minutes. If you prefer your chicken wings on the drier side, return them to the oven for another 5 to 8 minutes once they have been coated in the buffalo sauce and then serve.
Meanwhile, prepare the buffalo sauce according to the recipe. Once the chicken wings have cooked, remove them from the oven and lightly toss in the buffalo sauce until well coated. Serve hot with the blue cheese dip and / or ranch dressing.","{'servingSize': '0.25 pound', 'calories': '419 kcal', 'carbohydrateContent': '2 g', 'proteinContent': '33 g', 'fatContent': '29 g', 'saturatedFatContent': '8 g', 'cholesterolContent': '141 mg', 'sodiumContent': '138 mg'}",American,8 servings,https://addapinch.com/wp-content/uploads/2018/10/baked-buffalo-chicken-wings-recipe-DSC_0423-scaled.jpg,5.0,Crispy Baked Buffalo Chicken Wings that are so deliciously crispy you might think they are deep-fried! This easy chicken wings recipe has tips for making the perfect wings at home!,Complete
Appetizer,Guacamole Recipe,5,"2 avocados (halved, seeded, and peeled), 1 tablespoon lime juice, 1/2 teaspoon sea salt, 1 clove garlic (minced), 2 Roma tomatoes (seeded and diced), 1 onion (diced), 1 tablespoon cilantro, pinch ground cumin (optional)","IngredientGroup(ingredients=['2 avocados (halved, seeded, and peeled)', '1 tablespoon lime juice', '1/2 teaspoon sea salt', '1 clove garlic (minced)', '2 Roma tomatoes (seeded and diced)', '1 onion (diced)', '1 tablespoon cilantro', 'pinch ground cumin (optional)'], purpose=None)","Mash avocado with a fork or potato masher in a bowl until the consistency you prefer. Add lime juice and salt and mix well with fork. Stir in tomatoes, onion, and chopped cilantro. If using cumin, add at this point.
Pour into a serving bowl and serve.","{'carbohydrateContent': '7 g', 'proteinContent': '2 g', 'fatContent': '10 g', 'saturatedFatContent': '1 g', 'sodiumContent': '200 mg', 'fiberContent': '5 g', 'sugarContent': '1 g', 'calories': '112 kcal', 'servingSize': '1 serving'}",Mexican,6 servings,https://addapinch.com/wp-content/uploads/2013/01/guacamole-DSC_1685-3.jpg,4.5,"This easy Guacamole recipe, made with fresh ingredients like avocados, lime juice, cilantro, onions, and tomatoes is authentic and delicious! Tasty appetizer and side dish!",Complete
Appetizer,Perfect Queso Recipe,5,"1/2 cup pepper jack cheese, 1 cup grated white American cheese, 1/2 cup grated white queso cheese, 1/2 cup half and half or whole milk","IngredientGroup(ingredients=['1/2 cup pepper jack cheese', '1 cup grated white American cheese', '1/2 cup grated white queso cheese', '1/2 cup half and half or whole milk'], purpose=None)","Stovetop Queso:
Add cheeses and half of the half and half or milk to the double boiler over low heat. Stir as the cheese melts and add more of the half and half or milk until the mixture reaches the desired consistency. The cheese sauce should be thin, but still thick enough to coat a chip when dipped. Serve immediately or pour into a small slow cooker on the warm setting to serve.
Microwave Queso:
Add cheeses and the half and half or milk into large microwaveable bowl. Microwave for 3 minutes at 80% power, stopping and stirring after each minute. Remove from the microwave and stir vigorously to combine.
If needed, continue microwaving an additional 1 - 2 minutes, or until cheese is melted thoroughly and ingredients are well blended. Serve immediately or pour into a small slow cooker on the warm setting to serve.
Slow Cooker Queso:
Add cheeses and half and half or milk to the slow cooker. Stir to combine and set on low setting for at least 30 minutes. Then, stir when the cheeses have melted and lower to the warm setting to keep warm while serving.","{'calories': '534 kcal', 'carbohydrateContent': '6 g', 'proteinContent': '26 g', 'fatContent': '45 g', 'saturatedFatContent': '26 g', 'cholesterolContent': '138 mg', 'sodiumContent': '1574 mg', 'sugarContent': '2 g', 'servingSize': '1 serving'}",American,2 servings,https://addapinch.com/wp-content/uploads/2015/01/queso-recipe-0822-scaled.jpg,5.0,"This easy and delicious Queso recipe is made with only four ingredients and comes together in minutes! Make this rich and creamy homemade queso on the stove, slow cooker, or microwave for the best Mexican cheese dip ever! You'll want to make this on repeat!",Complete
Appetizer,Buffalo Chicken Dip Recipe,25,"2 cups chicken breasts (cooked and shredded), 1 (8-ounce) package cream cheese (softened), 1/2 cup ranch dressing (or blue cheese dressing, homemade or store-bought), 3/4 cup buffalo sauce recipe (homemade or store bought), 1 cup grated Cheddar cheese, 1/2 teaspoon Stone House Seasoning, bleu cheese crumbles (optional)","IngredientGroup(ingredients=['2 cups chicken breasts (cooked and shredded)', '1 (8-ounce) package cream cheese (softened)', '1/2 cup ranch dressing (or blue cheese dressing, homemade or store-bought)', '3/4 cup buffalo sauce recipe (homemade or store bought)', '1 cup grated Cheddar cheese', '1/2 teaspoon Stone House Seasoning', 'bleu cheese crumbles (optional)'], purpose=None)","Preheat oven to 350º F.
Mix together all ingredients except bleu cheese crumbles (if using) and pour into a medium baking dish.
Bake for 15-20 minutes or until hot and bubbly.
Remove from the oven and sprinkle with bleu cheese crumbles, if using.
Serve with celery sticks, fritos, pita chips, or tortilla chips.
Slow Cooker Buffalo Chicken Dip Recipe
Lightly spray the insert to the slow cooker with cooking spray or olive oil.
Mix together all ingredients except blue cheese crumbles (if using) and pour into the insert of the slow cooker. Top with remaining cheddar cheese and bleu cheese crumbles. Place lid on the slow cooker and turn on to the low or warm setting for up to 4 hours.","{'calories': '106 kcal', 'proteinContent': '4 g', 'fatContent': '9 g', 'saturatedFatContent': '3 g', 'cholesterolContent': '20 mg', 'sodiumContent': '174 mg', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2024/01/buffalo-chicken-dip-recipe-21.jpg,5.0,Buffalo Chicken Dip Recipe is the best easy appetizer for the slow cooker or oven! Tender chicken in buffalo sauce with ranch dressing and cheese! Always a crowd favorite!,Complete
Main Course,Crab Cakes,23,"1/2 cup mayonnaise, 1 large egg, 1 teaspoon Dijon mustard, 1 teaspoon Worcestershire sauce, 1 tablespoon Old Bay Seasoning, 1/2 teaspoon hot sauce (optional), 1 pound lump crab meat (drained), 20 saltine crackers (crushed or 1/2 cup bread crumbs), 3 tablespoons butter","IngredientGroup(ingredients=['1/2 cup mayonnaise', '1 large egg', '1 teaspoon Dijon mustard', '1 teaspoon Worcestershire sauce', '1 tablespoon Old Bay Seasoning', '1/2 teaspoon hot sauce (optional)', '1 pound lump crab meat (drained)', '20 saltine crackers (crushed or 1/2 cup bread crumbs)', '3 tablespoons butter'], purpose=None)","Mix together first five ingredients in a medium bowl.
Fold in crab meat and saltines or bread crumbs.
Shape into patties.
Place on a waxed paper lined baking sheet.
Cover and chill for one hour to overnight.
Saute in 3 tablespoons of butter in a large nonstick skillet, cooking for approximately 3 minutes on each side.
Remove to a paper towel lined platter to drain.
Plate and serve immediately with remoulade sauce.","{'carbohydrateContent': '6 g', 'proteinContent': '12 g', 'fatContent': '16 g', 'saturatedFatContent': '5 g', 'transFatContent': '1 g', 'cholesterolContent': '61 mg', 'sodiumContent': '704 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'calories': '219 kcal', 'unsaturatedFatContent': '11 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2024/01/crab-cake-recipe-35.jpg,5.0,This delicious Maryland Crab Cake recipe is full of succulent crab and tasty seasonings! It makes the perfect appetizer or main dish for a special dinner! Ready in under 30 minutes!,Complete
Appetizer,Simple Stuffed Mushrooms,25,"2 lbs button mushrooms (approximately 50 mushrooms), 1 (8-ounce) package cream cheese, 1 (8-ounce) package shredded Parmesan cheese, 3 green onions (chopped), 1 lb sausage (ground sausage)","IngredientGroup(ingredients=['2 lbs button mushrooms (approximately 50 mushrooms)', '1 (8-ounce) package cream cheese', '1 (8-ounce) package shredded Parmesan cheese', '3 green onions (chopped)', '1 lb sausage (ground sausage)'], purpose=None)","Preheat oven to 375 degrees.
Wash mushrooms and remove stems.
Chop stems. Set aside.
Cream together cream cheese, Parmesan cheese, and onions.
Cook sausage.
Once fully cooked, add in mushroom stems and cook until tender.
Pour sausage and mushrooms into cheese and onion mixture. Mix well.
Spoon into mushroom tops and bake for 15 minutes until bubbly.
Remove from oven and allow to cool for 5 minutes prior to serving.","{'carbohydrateContent': '5 g', 'proteinContent': '11 g', 'fatContent': '17 g', 'saturatedFatContent': '8 g', 'transFatContent': '1 g', 'cholesterolContent': '47 mg', 'sodiumContent': '484 mg', 'fiberContent': '1 g', 'sugarContent': '2 g', 'calories': '209 kcal', 'unsaturatedFatContent': '7 g', 'servingSize': '1 serving'}",American,16 servings,https://addapinch.com/wp-content/uploads/2010/09/untitled-4768-1-602x399-2.jpg,5.0,"These savory Stuffed Mushrooms are an easy, five-ingredient appetizer and a crowd favorite! A simple recipe to serve at parties or as a tasty snack!",Complete
Main Course,Southern Ham Biscuits,35,"1 recipe buttermilk biscuits, 1 recipe cream biscuits, 1 recipe cheddar biscuits, 1 pound Baked ham (sliced and cut into biscuit-sized pieces), 1 pound Country ham (recommend traditional Virginia country ham), 1 pound shaved deli ham, Pepper Jelly (homemade or store-bought), Pimento Cheese, Honey Butter, Hot Honey (homemade or store-bought), Poppy Seed Spread (recipe below), 1/2 cup butter (melted), 1 tablespoon poppy seeds, 1 tablespoon grated onion (or 2 tablespoon onion powder), 1/2 teaspoon Worcestershire sauce, 1 1/2 tablespoons Dijon mustard","IngredientGroup(ingredients=['1 recipe buttermilk biscuits', '1 recipe cream biscuits', '1 recipe cheddar biscuits'], purpose='Biscuit Options'), IngredientGroup(ingredients=['1 pound Baked ham (sliced and cut into biscuit-sized pieces)', '1 pound Country ham (recommend traditional Virginia country ham)', '1 pound shaved deli ham'], purpose='Ham Options'), IngredientGroup(ingredients=['Pepper Jelly (homemade or store-bought)', 'Pimento Cheese', 'Honey Butter', 'Hot Honey (homemade or store-bought)', 'Poppy Seed Spread (recipe below)'], purpose='Spread Options'), IngredientGroup(ingredients=['1/2 cup butter (melted)', '1 tablespoon poppy seeds', '1 tablespoon grated onion (or 2 tablespoon onion powder)', '1/2 teaspoon Worcestershire sauce', '1 1/2 tablespoons Dijon mustard'], purpose='Poppy Seed Spread (Optional)')","Prep. Preheat oven to 475º F. Grease baking sheet or line with parchment paper.
Make the biscuits. Prepare biscuits according to recipe directions. Scoop the biscuit dough with a portion scoop based on the desired size (medium cookie scoop for appetizers or 2 1/2"" scoop for larger size). Or roll the dough and cut with biscuit cutters for the desired size. Place onto prepped baking sheet and bake according to the recipe instructions. Remove and split open with the tines of a fork.
Assemble the ham biscuits. Place ham onto the bottom half of the biscuit and spread the top half with your spread of choice. Return the top half of the biscuit to the top of the ham. Secure with a toothpick or skewer if needed for serving.
Alternatively, serve various spreads in bowls alongside the platter of biscuits
Poppy Seed Spread (Optional)
Mix together the melted butter, poppy seeds, grated onion, Worcestershire sauce, and Dijon mustard until all are well combined.
Honey Butter Spread (Optional)
Mix together until smooth and creamy.","{'carbohydrateContent': '18 g', 'proteinContent': '12 g', 'fatContent': '19 g', 'saturatedFatContent': '10 g', 'transFatContent': '0.2 g', 'cholesterolContent': '49 mg', 'sodiumContent': '528 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'calories': '292 kcal', 'unsaturatedFatContent': '6 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2023/12/Southern-Ham-Biscuits-Recipe-20230252.jpg,5.0,These Southern ham biscuits are perfect as appetizers when entertaining or serving for brunch. The best ham biscuit has a delicious spread to enhance the flavors of the biscuit and the salty meat.,Complete
Appetizer,Easy Grape Jelly Meatballs Recipe,245,"1 (32-ounce) package frozen meatballs, 1 cup grape jelly, 1 1/2 cups BBQ sauce (homemade or store-bought), green onions (slices), chives (chopped)","IngredientGroup(ingredients=['1 (32-ounce) package frozen meatballs', '1 cup grape jelly', '1 1/2 cups BBQ sauce (homemade or store-bought)'], purpose=None), IngredientGroup(ingredients=['green onions (slices)', 'chives (chopped)'], purpose='Optional Toppings')","Add the meatballs, grape jelly, and BBQ sauce to the slow cooker. Stir to combine. Cover with the lid. Set the timer for 4 hours on the low setting, stirring after 2 hours. Leave on the warm setting until ready to serve.
Optional topping to serve: Top with green onions or chives for serving.","{'calories': '140 kcal', 'carbohydrateContent': '34 g', 'proteinContent': '0.4 g', 'fatContent': '0.2 g', 'saturatedFatContent': '0.02 g', 'sodiumContent': '377 mg', 'fiberContent': '1 g', 'sugarContent': '26 g', 'unsaturatedFatContent': '0.08 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2023/10/grape-jelly-meatballs-recipe-Grape-Jelly-Meatballs-Recipe-20230004-1.jpg,5.0,Grape Jelly Meatballs make the best appetizer recipe! It is a crowd favorite. Juicy meatballs are slow-cooked until tender in a sweet and spicy sauce. Made with three ingredients and a crowd favorite!,Complete
Appetizer,Cranberry Salsa over Cream Cheese Recipe,5,"1 (12-ounce) package fresh cranberries, 1/2 cup granulated sugar, 1 medium jalapeno pepper (deseeded and chopped), 2 tablespoons sliced green onions, 1/4 cup cilantro, 1 tablespoon orange zest, 2 tablespoons orange juice, 1 (8-ounce) package cream cheese (softened, for serving), crackers or fruit slices (for serving)","IngredientGroup(ingredients=['1 (12-ounce) package fresh cranberries', '1/2 cup granulated sugar', '1 medium jalapeno pepper (deseeded and chopped)', '2 tablespoons sliced green onions', '1/4 cup cilantro', '1 tablespoon orange zest', '2 tablespoons orange juice', '1 (8-ounce) package cream cheese (softened, for serving)', 'crackers or fruit slices (for serving)'], purpose=None)","Add cranberries and sugar to a food processor and pulse until coarsely chopped, about 30 pulses. Stir in jalapeno, onion, cilantro, orange zest, and orange juice, and pulse a few times until these ingredients are roughly chopped and blended with the cranberries. Cover and store in the refrigerator for at least 30 minutes to overnight.
To serve, arrange cream cheese on a serving tray, strain away juices from the cranberry salsa, and spoon on top of the cream cheese. Serve with assorted crackers or fruit slices. The salsa can also be served on its own with tortilla chips.","{'calories': '53 kcal', 'carbohydrateContent': '13 g', 'proteinContent': '1 g', 'fatContent': '6 g', 'sugarContent': '8 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2023/11/cranberry-salsa-recipe-000033.jpg,5.0,"Cranberry Salsa over Cream Cheese is a quick appetizer perfect for the holidays! It's fresh, tangy, delicious, ready in minutes, and an easy make-ahead recipe! Delicious served with crackers, fruit, or chips. You can also serve the fresh, zesty cranberry salsa with chips or over beef, fish, and sandwiches!",Complete
