Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Dessert,Lemon Pound Cake Recipe,105,"1 1/2 cups butter, 1 (8-ounce) package cream cheese, 6 large eggs, 2 tablespoons lemon juice, 1 tablespoon lemon zest, 3 cups sugar, 3 cups all-purpose flour, 1 teaspoon kosher salt, 1 tablespoon vanilla extract, 1 1/2 cups confectioner's sugar, 2 tablespoons lemon juice, 1 tablespoon lemon zest, 1 tablespoon buttermilk","IngredientGroup(ingredients=['1 1/2 cups butter', '1 (8-ounce) package cream cheese', '6 large eggs', '2 tablespoons lemon juice', '1 tablespoon lemon zest', '3 cups sugar', '3 cups all-purpose flour', '1 teaspoon kosher salt', '1 tablespoon vanilla extract'], purpose='For the Lemon Pound Cake'), IngredientGroup(ingredients=[""1 1/2 cups confectioner's sugar"", '2 tablespoons lemon juice', '1 tablespoon lemon zest', '1 tablespoon buttermilk'], purpose='For the Lemon Buttermilk Glaze')","For the Lemon Pound Cake
Preheat oven to 325 degrees. Prepare bundt or tube pan by coating with shortening or butter and flouring light. Set aside.
Let the butter, cream cheese, and eggs come to room temperature. Cream together the butter, cream cheese and sugar until fluffy. Add eggs one at a time. Add lemon juice and zest and combine well. Add flour and salt and vanilla. Mix until just well-combined but do not over mix. Pour the cake batter into the prepared bundt or tube pan.
Bake until golden brown and skewer inserted into the cake comes out clean, about 1 hour and 15 - 30 minutes. When cake is done, cool for 10 minutes in the pan. Then carefully turn the cake out onto a wire rack to finish cooling completely.
For the Lemon Buttermilk Glaze
As the cake is cooling, whisk together ingredients confectioner's sugar, lemon juice, lemon zest, and buttermilk to make the glaze. Allow to sit until cake has fully cooled, then drizzle over top of lemon pound cake.","{'servingSize': '1 slice', 'calories': '457 kcal', 'carbohydrateContent': '67 g', 'proteinContent': '5 g', 'fatContent': '19 g', 'saturatedFatContent': '11 g', 'cholesterolContent': '115 mg', 'sodiumContent': '326 mg', 'sugarContent': '48 g'}",American,16 servings,https://addapinch.com/wp-content/uploads/2015/12/lemon-pound-cake-DSC_2814.jpg,4.91,"This easy Lemon Pound Cake recipe makes a dream dessert for lemon lovers! Made with fresh lemon juice and zest and topped with a lemon buttermilk glaze, this moist pound cake is bursting with delicious flavor!",Complete
"Dessert,Side Dish",Strawberry Pretzel Salad Recipe,45,"2 cups pretzels (crushed), 3/4 cup butter (melted), 2 tablespoons sugar, 1 (8-ounce package) cream cheese, 1 8-ounce package frozen whipped topping, 3/4 cup sugar, 1 ½ cups boiling water, 2 (3-ounce) packages strawberry Jell-O, 2 (10-ounce) packages frozen strawberries","IngredientGroup(ingredients=['2 cups pretzels (crushed)', '3/4 cup butter (melted)', '2 tablespoons sugar', '1 (8-ounce package) cream cheese', '1 8-ounce package frozen whipped topping', '3/4 cup sugar', '1 ½ cups boiling water', '2 (3-ounce) packages strawberry Jell-O', '2 (10-ounce) packages frozen strawberries'], purpose=None)","Preheat oven to 400˚.
Mix crushed pretzels with melted butter and 2 tablespoons sugar. Press pretzel mixture into the bottom of 9 x 13-inch casserole dish and bake until set, about 8-10 minutes. Remove from the oven and allow to cool completely.
Mix cream cheese, 3/4 cup sugar, and whipped topping in a large bowl until smooth. Spread over the cooled crust, making sure to spread completely to the edges. (Spreading to the edges of the crust makes a seal before the strawberry layer is added.)
Dissolve the Jell-O in boiling water and mix in frozen strawberries. Allow to set until the jello and strawberry mixture has slightly thickened and set and then pour over the cream cheese mixture. Chill until firm and serve.","{'servingSize': '0.5 cup', 'calories': '209 kcal', 'carbohydrateContent': '25 g', 'proteinContent': '1 g', 'fatContent': '11 g', 'saturatedFatContent': '7 g', 'cholesterolContent': '30 mg', 'sodiumContent': '271 mg', 'sugarContent': '15 g'}",American,12 servings,https://addapinch.com/wp-content/uploads/2012/02/strawberry-pretzel-salad-recipe_DSC1207.jpg,5.0,"Strawberry Pretzel Salad is an easy, delicious dessert with a buttery pretzel crust, a cheesecake-like layer, and a sweet strawberry topping. It is the perfect combination of creamy, crunchy, sweet, and salty! A great dessert or side dish!",Complete
Dessert,The Best Brownies Recipe Ever,40,"1 cup butter, 1 cup unsweetened cocoa powder, 1 cup brown sugar, 1 cup granulated sugar, 4 large eggs, 1 cup all-purpose flour, 1/4 teaspoon espresso powder, 1/2 teaspoon kosher salt, 2 teaspoons vanilla extract, 1 cup chocolate chips (optional), 1 cup chopped pecans (optional)","IngredientGroup(ingredients=['1 cup butter', '1 cup unsweetened cocoa powder', '1 cup brown sugar', '1 cup granulated sugar', '4 large eggs', '1 cup all-purpose flour', '1/4 teaspoon espresso powder', '1/2 teaspoon kosher salt', '2 teaspoons vanilla extract'], purpose=None), IngredientGroup(ingredients=['1 cup chocolate chips (optional)', '1 cup chopped pecans (optional)'], purpose='Optional Mix-ins')","Prep. Preheat the oven to 350º F. Line a 9 x 9-inch baking pan with parchment paper to easily lift the brownies from the pan for final cooling and cutting. Set aside.
Melt the butter, chocolate, and sugars. Melt the butter in a microwave-safe bowl. Add the cocoa powder and sugars and stir to combine and smooth.
Make the brownie batter. Add the eggs, one at a time, stirring after each addition to fully combine into the melted chocolate mixture before adding the next. Continue to stir until smooth and glossy. Stir in the salt, espresso powder, flour, and vanilla extract. Stir until smooth and pour into the prepared baking dish.
Bake. Bake until the brownies are set, the top is shiny and crackly, and a toothpick inserted into the center comes out with moist crumbs, about 25 to 30 minutes. Cool the brownies in the pan for 5 minutes on a wire rack. Lift the brownies out of the pan by the edges of the parchment paper and cool on the wire rack.
Cut and serve. Cut the brownies into 2-inch squares or your preferred size pieces and serve.","{'calories': '319 kcal', 'carbohydrateContent': '43 g', 'proteinContent': '4 g', 'fatContent': '16 g', 'saturatedFatContent': '10 g', 'transFatContent': '0.5 g', 'cholesterolContent': '79 mg', 'sodiumContent': '195 mg', 'fiberContent': '3 g', 'sugarContent': '33 g', 'unsaturatedFatContent': '5 g', 'servingSize': '1 serving'}",American,16 servings,https://addapinch.com/wp-content/uploads/2012/12/best-brownies-recipe-0512.jpg,5.0,"The Best Brownie recipe ever! These easy Homemade Brownies are made from scratch, featuring the perfect blend of chewy and fudgy brownies with a shiny, crackly top.",Complete
Dessert,Cream Cheese Pound Cake,100,"1 1/2 cups salted butter (room temperature ), 8 ounces cream cheese (room temperature), 3 cups granulated sugar, 6 eggs (room temperature), 3 cups all-purpose flour, 1 teaspoon kosher salt, 1 tablespoon vanilla extract","IngredientGroup(ingredients=['1 1/2 cups salted butter (room temperature )', '8 ounces cream cheese (room temperature)', '3 cups granulated sugar', '6 eggs (room temperature)', '3 cups all-purpose flour', '1 teaspoon kosher salt', '1 tablespoon vanilla extract'], purpose=None)","Preheat oven to 325º F. Spray a 12-cup Bundt or tube pan well with baking spray or grease with softened butter and dust with flour, making sure to coat well to prevent any sticking.
In a stand mixer fitted with the paddle attachment (or using a hand mixer), beat the butter, cream cheese, and sugar until fluffy, about 3 minutes. Add the eggs one at a time, beating after each addition until each is just combined. Add the flour, salt, and vanilla and beat until well blended but do not over-mix. Pour into the prepared pan. Tap the Bundt pan gently on the countertop a few times to remove any air bubbles trapped inside.
Bake until the top is golden brown, the cake springs back when lightly pressed, and a wooden toothpick inserted into the center comes out clean, about 1 1/2 hours. If your cake is turning brown and needs longer to cook, tent it loosely with foil to prevent the crust from getting too brown. Let cool in pan for 10 minutes on a wire rack, and then turn the cake out onto the rack to cool completely.
Remove from oven once the cake is done and let cool in pan for 10 minutes on a wire rack, and then turn the cake out onto the rack to cool completely. Slice and serve!","{'calories': '458 kcal', 'carbohydrateContent': '56 g', 'proteinContent': '6 g', 'fatContent': '24 g', 'saturatedFatContent': '14 g', 'transFatContent': '1 g', 'cholesterolContent': '121 mg', 'sodiumContent': '351 mg', 'fiberContent': '1 g', 'sugarContent': '38 g', 'unsaturatedFatContent': '7 g', 'servingSize': '1 serving'}",American,16 servings,https://addapinch.com/wp-content/uploads/2024/02/cream-cheese-pound-cake-recipe-13.jpg,4.91,"This Cream Cheese Pound Cake recipe makes the most delicious, moist, and perfect pound cake! Easy to make with this time-tested recipe and just 7 simple ingredients, it's the best pound cake and is sure to be a favorite!",Complete
Dessert,Chocolate Covered Strawberries Recipe,7,"1 pint fresh strawberries, 1 (10-ounce) package Chocolate Chips (semi-sweet, milk, or white chocolate (use a high-quality chip)), 1 teaspoon coconut oil (optional)","IngredientGroup(ingredients=['1 pint fresh strawberries', '1 (10-ounce) package Chocolate Chips (semi-sweet, milk, or white chocolate (use a high-quality chip))', '1 teaspoon coconut oil (optional)'], purpose=None)","Prep. Line a rimmed baking sheet with parchment paper, top with a wire rack and set aside. Line another baking sheet with parchment paper to use for cooling the dipped strawberries. If using any optional toppings, place those onto individual small plates.
Wash and Dry Strawberries. Wash strawberries and then pat dry with paper towels and arrange on the wire rack to completely air dry to make sure chocolate adheres perfectly.
Melt Chocolate. Add chocolate to medium microwave-safe bowl. Heat at 50% power in 30-second intervals, stirring after each interval. Repeat until the chocolate is all melted and smooth. Repeat with additional types of chocolate if making different types - white, dark chocolate, milk, etc.
Dip Strawberries. Hold each strawberry by the stem and dip into the melted chocolate. Lift the strawberry out of the chocolate and slightly twist to allow any additional chocolate to run off back into the bowl of chocolate. If you are adding any optional toppings, dip the chocolate covered strawberry into the topping and then place onto the parchment-lined baking sheet to cool and for the chocolate to harden.
Serve or store. Serve once the chocolate has hardened or store in the refrigerator. Best enjoyed within 48 hours.","{'calories': '149 kcal', 'carbohydrateContent': '17 g', 'proteinContent': '2 g', 'fatContent': '8 g', 'saturatedFatContent': '7 g', 'sodiumContent': '24 mg', 'fiberContent': '2 g', 'sugarContent': '10 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2020/02/Chocolate-Covered-Strawberries-Recipe_12.jpg,5.0,A step-by-step guide for how to make delicious Chocolate Covered Strawberries with ease with just three ingredients in about 20 minutes! The best chocolate covered strawberries recipe you can make at home!,Complete
Dessert,Easy Apple Dumplings Recipe,60,"4 granny smith apples, 3 (8-ounce) cans crescent rolls, 5 ounces Lemon-Lime Soda, 1 cup granulated sugar, 1 cup brown sugar, 1 1/2 cups butter","IngredientGroup(ingredients=['4 granny smith apples', '3 (8-ounce) cans crescent rolls', '5 ounces Lemon-Lime Soda', '1 cup granulated sugar', '1 cup brown sugar', '1 1/2 cups butter'], purpose=None)","Prep. Preheat oven to 375º F. Butter 9x13 baking dish and set aside. Place the baking dish on a baking sheet and set aside. Pour lemon-lime soda into a medium bowl.
Prepare the dumplings. Peel and slice each apple into six equal slices. Add apple slices to the lemon-lime soda bowl to prevent the apples' browning. Wrap each apple slice in a wedge of crescent roll dough. Place into the prepared baking dish. Repeat until all apple slices have been prepared. Pour the lemon-lime soda over the dumplings.
Make the caramel sauce. Melt butter and sugars in a medium saucepan over medium heat. Stir until dissolved. Pour over the dumplings.
Bake and serve. Bake until golden brown and cooked through, about 40 minutes. Remove from the oven and let set for 10 minutes before serving. Spoon caramel sauce over the top of the apple dumplings.","{'carbohydrateContent': '26 g', 'proteinContent': '0.4 g', 'fatContent': '23 g', 'saturatedFatContent': '15 g', 'transFatContent': '1 g', 'cholesterolContent': '61 mg', 'sodiumContent': '186 mg', 'fiberContent': '1 g', 'sugarContent': '24 g', 'calories': '305 kcal', 'unsaturatedFatContent': '7 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2022/12/easy-apple-dumpling-recipe-DSC_2667.jpg,5.0,"Easy Apple Dumplings Recipe made with granny smith apples, crescent rolls dough, brown sugar, butter, and lemon-lime soda. Easy, delicious apple dumpling dessert in a rich caramel sauce!",Complete
Dessert,Peanut Butter Cookies Recipe,20,"1 cup butter (softened), 2 cups peanut butter (creamy or chunky), 1 cup brown sugar (packed), 1 cup sugar, 1 teaspoon vanilla extract, 2 large eggs, 2 1/2 cups all-purpose flour, 1 teaspoon baking soda, 1/2 teaspoon baking powder, 1 teaspoon kosher salt, 1/2 cup sugar (for rolling)","IngredientGroup(ingredients=['1 cup butter (softened)', '2 cups peanut butter (creamy or chunky)', '1 cup brown sugar (packed)', '1 cup sugar', '1 teaspoon vanilla extract', '2 large eggs', '2 1/2 cups all-purpose flour', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '1 teaspoon kosher salt', '1/2 cup sugar (for rolling)'], purpose=None)","Preheat oven to 350º F.
Cream together butter, peanut butter, sugars, and vanilla extract. Add in eggs one at a time, being sure to fully combine each.
Whisk together all dry ingredients and cream with peanut butter mixture until just combined. Be careful not to over mix.
Scoop dough and roll into a ball and then roll in sugar and place on baking sheet about 2 inches apart as the cookies will spread.
Dip tines of the fork into sugar and then press into the top of the cookie to form a criss-cross pattern.
Place in preheated oven and bake between 10 - 15 minutes, depending on your oven.
Remove from oven and allow to sit for about 2 minutes to cool before removing to a wire rack to cool completely.","{'calories': '263 kcal', 'carbohydrateContent': '35 g', 'proteinContent': '7 g', 'fatContent': '11 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '13 mg', 'sodiumContent': '201 mg', 'fiberContent': '1 g', 'sugarContent': '23 g', 'servingSize': '1 serving'}",American,24 servings,https://addapinch.com/wp-content/uploads/2023/11/peanut-butter-cookies-recipe-0017.jpg,5.0,"These Peanut Butter Cookies are soft, chewy, melt-in-your-mouth delicious, and loaded with peanut butter! Easy classic made from simple ingredients - it's the peanut butter cookie recipe you'll crave!",Complete
"Breakfast,Dessert",Cinnamon Roll Biscuit Wreath Recipe,27,"2 cups self-rising flour, 1/4 cup granulated sugar, 1 - 1½ cups heavy whipping cream, 3 tablespoons butter (melted), 1 tablespoon ground cinnamon, 3 tablespoons brown sugar, 1 cup confectioner's sugar, 2 tablespoons milk, 1 teaspoon vanilla extract","IngredientGroup(ingredients=['2 cups self-rising flour', '1/4 cup granulated sugar', '1 - 1½ cups heavy whipping cream'], purpose=None), IngredientGroup(ingredients=['3 tablespoons butter (melted)', '1 tablespoon ground cinnamon', '3 tablespoons brown sugar'], purpose='For the filling'), IngredientGroup(ingredients=[""1 cup confectioner's sugar"", '2 tablespoons milk', '1 teaspoon vanilla extract'], purpose='For the glaze')","Preheat oven to 475º F. Arrange parchment paper on a baking sheet pan.
Add the flour, sugar and 1 cup of the heavy whipping cream to a large mixing bowl. Stir together until just combined. Add more heavy cream as needed for the dough to come together to form a soft, but manageable biscuit dough. Pour the dough onto a lightly floured surface and gently pat or roll into a rectangle about ½ inch thick.
For the filling
Pour melted butter on top of biscuit dough. Spread to make sure it reaches the edges of the dough.
Mix together cinnamon and sugar and sprinkle on top of melted butter. Roll the dough, beginning at the long edge, until a log of dough has been formed.
Transfer the dough roll to the parchment lined baking sheet. Lightly dampen the ends of the roll of dough with water or milk and bring the damp ends of the dough together, pinching to seal. Form the dough into a circle for the wreath.
Slice the dough, using a sharp knife, at 2-inch intervals about 3/4 of the way through the dough ring. Turn each section of sliced dough on its side to expose the cinnamon roll filling and form the wreath. Place the pan into the oven and bake for 10-12 minutes, or until lightly browned and cooked through. Do not overbake.
For the glaze
As the cinnamon roll wreath bakes, mix together the confectioner's sugar, milk and vanilla until well combined and smooth. Remove the wreath from the oven and allow to cool for a few minutes and then drizzle about 1/4 of the glaze over the top.
Transfer the remaining glaze to a small bowl and place it in the center of the wreath for those who want more glaze for dipping. Serve and enjoy!","{'calories': '513 kcal', 'carbohydrateContent': '51 g', 'proteinContent': '5 g', 'fatContent': '32 g', 'saturatedFatContent': '20 g', 'cholesterolContent': '114 mg', 'sodiumContent': '70 mg', 'fiberContent': '1 g', 'sugarContent': '26 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2017/12/cinnamon-roll-biscuit-wreath-recipe-0166.jpg,5.0,Cinnamon Roll Biscuit Wreath Recipe - Quick and easy this treat has everything you love about a cinnamon roll with the ease of a biscuit in the shape of a festive wreath!,Complete
Dessert,Red Velvet Cake Recipe,50,"½ cup shortening, 1 ½ cups sugar, 2 large eggs (room temperature), 2 ounces red food coloring, 2 tablespoons unsweetened cocoa powder, 2 ¼ cups flour (all-purpose or cake flour), 1 scant teaspoon kosher salt, 1 teaspoon vanilla extract, 1 teaspoon baking soda, 1 cup buttermilk, 1 tablespoon distilled white vinegar","IngredientGroup(ingredients=['½ cup shortening', '1 ½ cups sugar', '2 large eggs (room temperature)', '2 ounces red food coloring', '2 tablespoons unsweetened cocoa powder', '2 ¼ cups flour (all-purpose or cake flour)', '1 scant teaspoon kosher salt', '1 teaspoon vanilla extract', '1 teaspoon baking soda', '1 cup buttermilk', '1 tablespoon distilled white vinegar'], purpose=None)","Preheat oven to 350º F. Prepare three (8-inch) cake pans with nonstick baking spray or by thoroughly greasing and flouring. Set aside.
Cream vegetable shortening and sugar together until light and fluffy, about three minutes. Add eggs one at a time, completely incorporating after each addition.
Make a paste of food coloring and cocoa powder and add to the mixture.
Sift together flour and salt in a separate medium bowl, set aside. Pour buttermilk and vanilla into a measuring cup, set aside.
Alternately, mix flour mixture and buttermilk mixture into shortening/sugar mixture, beginning and ending with flour. Scrape down sides of mixing bowl to ensure all ingredients are well incorporated.
Reduce speed of mixer and stir in baking soda, making sure incorporated into batter. Then, stir in the vinegar, taking care not to beat hard or over mix.
Evenly distribute into cake pans and bake 25-30 minutes, until toothpick inserted in the center comes out clean.
Cool cake thoroughly before frosting.","{'calories': '142 kcal', 'carbohydrateContent': '22 g', 'proteinContent': '2 g', 'fatContent': '5 g', 'saturatedFatContent': '1 g', 'transFatContent': '1 g', 'cholesterolContent': '15 mg', 'sodiumContent': '78 mg', 'fiberContent': '1 g', 'sugarContent': '13 g', 'unsaturatedFatContent': '3 g', 'servingSize': '1 serving'}",American,24 servings,https://addapinch.com/wp-content/uploads/2022/11/Red-Velvet-Cake-Recipe_16.jpg,4.86,"The BEST Red Velvet Cake recipe makes a signature red layer cake with rich buttery, vanilla, and a bit of cocoa flavor, along with the tang of buttermilk, all topped with creamy Heritage or cream cheese frosting. It is a delicious, classic cake that is easy to make and tender with a perfect velvet crumb.",Complete
Dessert,Peppermint Bark Recipe,12,"1 1/2 cups chocolate chips (milk, semi-sweet, or dark), 2 teaspoons coconut oil (divided), 1 1/2 cups white chocolate candy melts/melting wafers, 4 teaspoons peppermint extract, 1/2 cup crushed peppermint candy","IngredientGroup(ingredients=['1 1/2 cups chocolate chips (milk, semi-sweet, or dark)', '2 teaspoons coconut oil (divided)', '1 1/2 cups white chocolate candy melts/melting wafers', '4 teaspoons peppermint extract', '1/2 cup crushed peppermint candy'], purpose=None)","Place waxed paper in a 13x9 baking dish. Leave enough waxed paper along edges to lift peppermint bark from baking dish later.
Add chocolate chips and 1 teaspoon coconut oil to a medium glass bowl. Heat in microwave for about 1 minute. If not melted, heat in 30 second increments until it is melted. Remove from microwave and stir until smooth. Add 2 teaspoons peppermint extract to melted milk chocolate and stir until well-combined. Pour chocolate into the prepared baking dish and place in the freezer until hardened, approximately 3 minutes.
Repeat the same process with the white chocolate candy melts. Remove baking dish from freezer and spread white chocolate over frozen chocolate. Sprinkle crushed peppermint candies over white chocolate and return to the freezer until firm, approximately 3 minutes.
Remove from freezer and pull waxed paper from baking dish. Break peppermint bark into pieces. Place on a dish, in a tin, or in cellophane bags for gift giving.","{'calories': '213 kcal', 'carbohydrateContent': '29 g', 'proteinContent': '1 g', 'fatContent': '9 g', 'saturatedFatContent': '6 g', 'cholesterolContent': '3 mg', 'sodiumContent': '28 mg', 'sugarContent': '26 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2010/12/homemade-peppermint-bark-recipe__DSC4675.jpg,5.0,Peppermint Bark is a classic Christmas treat! This delicious homemade peppermint bark recipe is made with layers of peppermint-filled milk chocolate and white chocolate and topped with crushed candy canes. Easy to make in minutes with only 5 ingredients. A favorite for holiday snacking and gift-giving!,Complete
