Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Salad,Wedge Salad Recipe,15,"1 head iceberg lettuce, 4 slices bacon (cooked and diced), 1 cup cherry tomatoes (diced), 1 cup blue cheese dressing, 1/4 cup blue cheese crumbles","IngredientGroup(ingredients=['1 head iceberg lettuce', '4 slices bacon (cooked and diced)', '1 cup cherry tomatoes (diced)', '1 cup blue cheese dressing', '1/4 cup blue cheese crumbles'], purpose=None)","Cut the lettuce. Remove the outer leaves of the iceberg lettuce to remove any torn leaves. Clean and dry iceberg lettuce. Cut head in half and then lengthwise into four equal-sized wedges.
Assemble the wedge salad. Plate the iceberg lettuce wedge. Top with diced cooked bacon and cut tomatoes. Top with blue cheese dressing and additional blue cheese crumbles.","{'carbohydrateContent': '11 g', 'proteinContent': '10 g', 'fatContent': '16 g', 'saturatedFatContent': '6 g', 'transFatContent': '0.03 g', 'cholesterolContent': '21 mg', 'sodiumContent': '844 mg', 'fiberContent': '2 g', 'sugarContent': '7 g', 'calories': '222 kcal', 'unsaturatedFatContent': '9 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2024/02/wedge-salad-recipe-3.jpg,5.0,"This Wedge Salad is crisp, refreshing, and delicious! Wedges of lettuce are topped with a creamy dressing, juicy tomatoes, salty bacon, and extra blue cheese crumbles.",Complete
Dressing,Classic Caesar Dressing Recipe,10,"2 tablespoons lemon juice, 1 clove garlic (minced), 1 teaspoon Worcestershire sauce (or coconut aminos), 1 1/2 teaspoons anchovy paste, 1 1/2 teaspoons Dijon mustard, 1 cup mayonnaise (or Greek yogurt), 1/2 cup finely grated Parmesan cheese, 1/4 teaspoon kosher salt, 1/4 teaspoon ground black pepper","IngredientGroup(ingredients=['2 tablespoons lemon juice', '1 clove garlic (minced)', '1 teaspoon Worcestershire sauce (or coconut aminos)', '1 1/2 teaspoons anchovy paste', '1 1/2 teaspoons Dijon mustard', '1 cup mayonnaise (or Greek yogurt)', '1/2 cup finely grated Parmesan cheese', '1/4 teaspoon kosher salt', '1/4 teaspoon ground black pepper'], purpose=None)","Whisk lemon juice, garlic, Worcestershire sauce, anchovy paste, and Dijon mustard until well combined. Add in mayonnaise (or Greek yogurt) and whisk until creamy.
Stir in parmesan cheese, salt and pepper. Serve or store.","{'servingSize': '2 tablespoons', 'calories': '27 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '3 g', 'fatContent': '1 g', 'saturatedFatContent': '1 g', 'transFatContent': '0.001 g', 'cholesterolContent': '4 mg', 'sodiumContent': '144 mg', 'fiberContent': '0.04 g', 'sugarContent': '1 g', 'unsaturatedFatContent': '0.4 g'}",Italian,14 servings,https://addapinch.com/wp-content/uploads/2024/02/caesar-dressing-recipe-11.jpg,4.97,Easy Caesar Dressing is creamy and delicious! A restaurant-style caesar salad dressing made at home with just a few ingredients!,Complete
"Main Course,Soup",Chicken Noodle Soup Recipe,95,"2 tablespoons butter, 1 tablespoon olive oil, 3 large carrots (peeled and sliced 1/4 inch thick), 2 medium celery (sliced 1/4 inch thick), 1 teaspoon fresh thyme (or 1/4 teaspoon dried), 1 teaspoon Stone House Seasoning, 4 cups chicken stock or broth (homemade or store-bought OR chicken broth), 3 cups water, 1 whole (about 2-3 pounds) organic chicken, 1 (8-ounce) package pasta (egg noodles, fettuccine, spaghetti), 1 tablespoon parsley (fresh, chopped), salt and pepper (to taste)","IngredientGroup(ingredients=['2 tablespoons butter', '1 tablespoon olive oil', '3 large carrots (peeled and sliced 1/4 inch thick)', '2 medium celery (sliced 1/4 inch thick)', '1 teaspoon fresh thyme (or 1/4 teaspoon dried)', '1 teaspoon Stone House Seasoning', '4 cups chicken stock or broth (homemade or store-bought OR chicken broth)', '3 cups water', '1 whole (about 2-3 pounds) organic chicken', '1 (8-ounce) package pasta (egg noodles, fettuccine, spaghetti)', '1 tablespoon parsley (fresh, chopped)', 'salt and pepper (to taste)'], purpose=None)","Stovetop Chicken Noodle Soup
Add butter and olive oil to a Dutch oven or 6-quart stockpot. Sauté the carrots and celery in the butter and olive oil until tender, about 3 minutes.
Pour in the chicken stock or broth and water. Add the chicken. Cook until the chicken reaches an internal temperature of 165º F when checked with a meat thermometer. Remove the chicken from the pot, shred and return to the pot. (If using cooked and shredded leftover or rotisserie chicken, add to the pot and stir to combine.)
Add the noodles to the pot and cook according to package directions. Add seasonings and serve.
Instant Pot Chicken Noodle Soup (30 Minutes)
Set your Instant Pot to the saute setting. Add your butter and olive oil and allow the butter to melt. Stir in your carrots and celery and cook until softened, about 3 minutes.
Add your chicken broth, water, chicken, thyme, and Stone House Seasoning. Secure the lid on the Instant Pot and set on the Manual setting for 12 minutes.
Allow the Instant Pot to naturally release and then carefully remove the lid of your Instant Pot. Using tongs, carefully remove the chicken from the Instant Pot. Place the chicken into a large bowl. Remove the skin and shred chicken into small, bite-sized pieces using two forks. Discard the skin and bones.
Add your noodles to your soup and return the Instant Pot to the saute setting, bringing the soup to a boil to cook the noodles. Cook until the noodles are tender, about 6 minutes. Stir in shredded chicken and cook until heated through, about 2 minutes.
Sprinkle with fresh parsley and add salt and pepper to taste.","{'servingSize': '1 cup', 'calories': '370 kcal', 'carbohydrateContent': '29 g', 'proteinContent': '4 g', 'fatContent': '6 g', 'saturatedFatContent': '2 g', 'cholesterolContent': '11 mg', 'sodiumContent': '519 mg', 'sugarContent': '3 g'}",American,8 servings,https://addapinch.com/wp-content/uploads/2022/12/Add-a-Pinch_Chicken-Noodle-Soup_017.jpg,5.0,"This delicious Chicken Noodle Soup is a classic soup ready in minutes! It's an incredible homemade chicken noodle soup loaded with fresh vegetables, tender chicken and is a comforting favorite! With Stovetop and Instant Pot instructions!",Complete
"Main Course,Soup",French Onion Soup,60,"6 medium onion (thinly sliced, sweet onion such as Vidalia), 4 tablespoons butter, 1/2 teaspoon kosher salt, 2 tablespoons olive oil, 1 clove garlic (minced), 8 cups beef stock or broth ((64-ounces)), 1/2 cup chicken stock or broth, 8 slices French bread (toasted), 2 cups Gruyere cheese (grated), 1/2 cup Parmesan cheese (grated)","IngredientGroup(ingredients=['6 medium onion (thinly sliced, sweet onion such as Vidalia)', '4 tablespoons butter', '1/2 teaspoon kosher salt', '2 tablespoons olive oil', '1 clove garlic (minced)', '8 cups beef stock or broth ((64-ounces))', '1/2 cup chicken stock or broth', '8 slices French bread (toasted)', '2 cups Gruyere cheese (grated)', '1/2 cup Parmesan cheese (grated)'], purpose=None)","French Onion Soup Recipe (Stovetop)
Add onions, butter and salt to large Dutch oven with olive oil set on low heat until the onions are browned and caramelized, about 1 hour. Add garlic and heat thoroughly, about one minute. Pour in beef stock and chicken stock. Stir, cover and allow to simmer over low heat for 30 minutes.
When ready to serve, ladle soup into oven proof bowls and top with bread and cheeses. Place on lined baking sheet and under the broiler in the oven until the cheeses have melted and browned lightly, about 8 minutes.
Slow Cooker French Onion Soup Recipe:
Add onions, butter and salt to slow cooker. Cook on low setting for 10 hours.
Add garlic, beef stock, and chicken stock. Stir well to combine and cook on low setting for 8 hours.
When ready to serve, ladle soup into oven proof bowls and top with bread and cheeses. Place on lined baking sheet and under the broiler in the oven until the cheeses have melted and browned lightly, about 8 minutes.","{'calories': '466 kcal', 'carbohydrateContent': '47 g', 'proteinContent': '25 g', 'fatContent': '19 g', 'saturatedFatContent': '11 g', 'cholesterolContent': '56 mg', 'sodiumContent': '1234 mg', 'fiberContent': '2 g', 'sugarContent': '6 g', 'servingSize': '1 serving'}","American,French",8 servings,https://addapinch.com/wp-content/uploads/2022/12/Add-a-Pinch_French-Onion-Soup_024.jpg,4.88,"Mouthwatering French Onion Soup recipe makes a comforting, classic bowl of soup with caramelized onions in rich soup and crusty bread with melty, delicious cheese! A rustic yet elegant favorite for entertaining! Includes stovetop and slow cooker methods!",Complete
Main Course,The Best Classic Chili Recipe,25,"1 pound ground beef (lean) (ground turkey or ground chicken), 2 (16-ounce) cans beans (black beans, pinto beans, or red kidney beans, drained and rinsed), 1 (16-ounce) can crushed tomatoes, 1 teaspoon Stone House Seasoning, 1 teaspoon ground cumin, 1 teaspoon chili powder, sour cream, cheddar cheese (grated), jalapeno pepper (sliced), 1/2 medium onion (diced), 1 large bell pepper (deseeded and diced), 1 medium jalapeno pepper (deseeded and diced), 2 large carrots (peeled and diced)","IngredientGroup(ingredients=['1 pound ground beef (lean) (ground turkey or ground chicken)', '2 (16-ounce) cans beans (black beans, pinto beans, or red kidney beans, drained and rinsed)', '1 (16-ounce) can crushed tomatoes', '1 teaspoon Stone House Seasoning', '1 teaspoon ground cumin', '1 teaspoon chili powder'], purpose=None), IngredientGroup(ingredients=['sour cream', 'cheddar cheese (grated)', 'jalapeno pepper (sliced)'], purpose='Optional Toppings:'), IngredientGroup(ingredients=['1/2 medium onion (diced)', '1 large bell pepper (deseeded and diced)', '1 medium jalapeno pepper (deseeded and diced)', '2 large carrots (peeled and diced)'], purpose='Optional Ingredients')","Brown ground meat in a Dutch oven or soup pot set over medium heat. Add seasonings, tomatoes and beans. Simmer until heated throughout.
Serve with your favorite toppings.","{'calories': '80 kcal', 'carbohydrateContent': '1 g', 'proteinContent': '12 g', 'fatContent': '3 g', 'saturatedFatContent': '1 g', 'transFatContent': '1 g', 'cholesterolContent': '35 mg', 'sodiumContent': '334 mg', 'fiberContent': '1 g', 'sugarContent': '1 g', 'unsaturatedFatContent': '2 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2021/10/Classic-Chili-Recipe-13.jpg,5.0,This Classic Chili recipe is one that everyone needs in the recipe box. Made with just six ingredients and ready in 30 minutes this makes the best chili!,Complete
"Main Course,Soup","Chicken Tortilla Soup Recipe (Slow Cooker, Instant Pot, and Stove Top)",40,"4 boneless skinless chicken breasts, 1 1/2 cups homemade enchilada sauce (or 1 (10-ounce) can, store-bought), 1 (28-ounce) can crushed tomatoes, 1 medium onion (diced), 4 cloves garlic (chopped), 2 cups chicken stock or broth (or store-bought), 1 teaspoon ground cumin, 1 teaspoon chili powder, 1/2 teaspoon Sriracha (optional), 1 teaspoon kosher salt, 1 teaspoon ground black pepper, 1 (12-ounce) bag frozen whole kernel corn (optional), 1 (15-ounce) can black beans (optional, rinsed and drained ), tortillas, cilantro (chopped), avocado, sour cream, monterey jack cheese (shredded), lime slices","IngredientGroup(ingredients=['4 boneless skinless chicken breasts', '1 1/2 cups homemade enchilada sauce (or 1 (10-ounce) can, store-bought)', '1 (28-ounce) can crushed tomatoes', '1 medium onion (diced)', '4 cloves garlic (chopped)', '2 cups chicken stock or broth (or store-bought)', '1 teaspoon ground cumin', '1 teaspoon chili powder', '1/2 teaspoon Sriracha (optional)', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '1 (12-ounce) bag frozen whole kernel corn (optional)', '1 (15-ounce) can black beans (optional, rinsed and drained )'], purpose=None), IngredientGroup(ingredients=['tortillas', 'cilantro (chopped)', 'avocado', 'sour cream', 'monterey jack cheese (shredded)', 'lime slices'], purpose='Garnish (optional)')","Slow Cooker (Crock Pot) Instructions: (4 hours)
Place chicken on the bottom of slow cooker insert. Pour enchilada sauce and crushed tomatoes over the chicken. Add remaining ingredients, except garnish ingredients, and stir together with a spoon. Cover the slow cooker insert and cook on high for 4 hours or on low for 6-8 hours, depending on your slow cooker.
When slow cooker has finished cooking, shred chicken with two forks while still inside the slow cooker insert and serve with optional toppings.
Add tortillas to a medium skillet set over medium heat and toast until lightly crisp. Cut tortillas into strips or serve crumbled on top of each bowl of soup along with other toppings, as desired.
Instant Pot Instructions: (15 minutes)
Add chicken, enchilada sauce, tomatoes, onion, garlic, chicken stock, spices, black beans, and corn to the instant pot. Seal the lid and select the soup setting. Set the timer for 10 minutes. Then, when cooking has completed, use the natural release for 5 minutes. Test for doneness by pricking chicken with a sharp knife for the juices to run clear. Shred the chicken using two forks and stir the soup to combine well.
Add tortillas to a medium skillet set over medium heat and toast until lightly crisp. Cut tortillas into strips or serve crumbled on top of each bowl of soup along with other toppings, as desired.
Stovetop Instructions: (30 minutes)
Cut the chicken into 3/4-inch pieces and set aside. Add the onion, garlic, and spices to a 6-quart Dutch oven or heavy stockpot set over medium heat. Cook, stirring frequently until the onion is tender and the spices are fragrant, about 3 minutes. Stir in the chicken, enchilada sauce, crushed tomatoes, chicken stock, and the corn. Cook until the chicken is cooked through, about 30 minutes.
Add tortillas to a medium skillet set over medium heat and toast until lightly crisp. Cut tortillas into strips or serve crumbled on top of each bowl of soup along with other toppings, as desired.","{'servingSize': '1 cup', 'calories': '106 kcal', 'carbohydrateContent': '2 g', 'proteinContent': '18 g', 'fatContent': '2 g', 'cholesterolContent': '54 mg', 'sodiumContent': '401 mg'}","American,Mexican",8 servings,https://addapinch.com/wp-content/uploads/2023/10/chicken-tortilla-soup-recipe-11.jpg,5.0,"This Chicken Tortilla Soup is hearty and delicious. Slow cooker, Instant Pot, and stovetop instructions for a quick and easy family favorite!",Complete
Soup,White Chicken Chili Recipe,30,"4 medium boneless skinless chicken breasts, 4 cups chicken stock or broth, 1 clove garlic (minced), 1 medium onion (diced), 1 (15-ounce) can white beans, drained, 1 (4-ounce) can green chiles (with liquids), 1 teaspoon dried oregano, 1 teaspoon ground cumin, 1/2 teaspoon chili powder, 1 teaspoon kosher salt, 1 teaspoon ground black pepper, 1 teaspoon chopped fresh oregano","IngredientGroup(ingredients=['4 medium boneless skinless chicken breasts', '4 cups chicken stock or broth', '1 clove garlic (minced)', '1 medium onion (diced)', '1 (15-ounce) can white beans, drained', '1 (4-ounce) can green chiles (with liquids)', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1/2 teaspoon chili powder', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '1 teaspoon chopped fresh oregano'], purpose=None)","Stovetop White Chicken Chili Recipe
Add chicken to a 4-quart, heavy bottomed Dutch oven or stockpot over medium heat. Add chicken stock and cook until tender, about 15 minutes. Shred chicken with two forks and then add back to the liquid.
Add garlic and onion to stockpot, white beans, green chilis, dried oregano, cumin, chili powder, salt, pepper, and chopped fresh oregano. Stir until well-combined. Taste for flavor and adjust to your preference.
Simmer over low heat for about 5 minutes. Remove from heat and serve.
Slow Cooker White Chicken Chili Recipe
Add chicken, chicken stock, garlic, onion, chilis, oregano, cumin, chili powder, salt and pepper to a 6-quart slow cooker. Cook for 8 hours on low. Shred chicken with two forks and stir in white beans and fresh oregano and cook for another 10 minutes. Serve.
Instant Pot White Chicken Chili Recipe
Add the chicken, chicken stock, garlic, onions, beans, chilis, oregano, cumin, chili powder, salt and pepper to your Instant Pot and secure the lid with the vent closed.
Set you Instant Pot to High pressure for 20 minutes. Allow the pressure to release naturally for 10 minutes and then, using a pot holder, carefully use the quick release. Remove the lid from the Instant Pot and shred the chicken using two forks. Stir to combine all of the ingredients and serve.","{'calories': '152 kcal', 'carbohydrateContent': '6 g', 'proteinContent': '3 g', 'fatContent': '1 g', 'cholesterolContent': '3 mg', 'sodiumContent': '466 mg', 'sugarContent': '2 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2017/10/chicken-chili-DSC_5919.jpg,4.91,"This delicious White Chicken Chili recipe with tender chicken, hearty beans, and savory broth. Make this cozy meal on the stovetop, in the slow cooker, or in the Instant Pot. Recipe variations to make it creamy or vegetarian!",Complete
Soup,Homemade Cream of Chicken Soup Recipe,20,"3 tablespoons butter (salted or unsalted, based on preference), 1/4 cup all-purpose flour ((divided), regular, whole-wheat, or gluten-free), 3 cups (24 ounces) chicken stock or broth (homemade or store-bought), 1 cup milk (whole, half and half, cream, or favorite dairy-free milk), 1/2 teaspoon kosher salt, 1/2 teaspoon ground black pepper, 1/4 teaspoon onion powder (optional), 1/4 teaspoon garlic powder (optional), 3 cups chicken stock or broth (homemade or store-bought), 1/4 cup all-purpose flour (regular, whole-wheat, or gluten-free), 1 cup milk (whole, half and half, cream, or favorite dairy-free milk), 1/2 teaspoon kosher salt, 1/2 teaspoon ground black pepper, 1/4 teaspoon onion powder (optional), 1/4 teaspoon garlic powder (optional)","IngredientGroup(ingredients=['3 tablespoons butter (salted or unsalted, based on preference)', '1/4 cup all-purpose flour ((divided), regular, whole-wheat, or gluten-free)', '3 cups (24 ounces) chicken stock or broth (homemade or store-bought)', '1 cup milk (whole, half and half, cream, or favorite dairy-free milk)', '1/2 teaspoon kosher salt', '1/2 teaspoon ground black pepper', '1/4 teaspoon onion powder (optional)', '1/4 teaspoon garlic powder (optional)'], purpose='Roux Method'), IngredientGroup(ingredients=['3 cups chicken stock or broth (homemade or store-bought)', '1/4 cup all-purpose flour (regular, whole-wheat, or gluten-free)', '1 cup milk (whole, half and half, cream, or favorite dairy-free milk)', '1/2 teaspoon kosher salt', '1/2 teaspoon ground black pepper', '1/4 teaspoon onion powder (optional)', '1/4 teaspoon garlic powder (optional)'], purpose='Quick and Easy Method')","Roux Method
Heat butter in a medium saucepan over low heat until melted. Whisk in 2 tablespoons of flour and whisk until smooth. Continue to cook, whisking frequently, until a light sandy color, about 4 to 5 minutes.
Add remaining flour to the butter mixture. Whisk until well combined. Add chicken stock and milk to butter mixture slowly, about 1 cup at a time, whisking constantly until smooth. Bring to a simmer and cook for about 15 minutes, until it is thick and creamy.
Remove from the heat and stir in salt, pepper and onion and garlic powder, if using.
Quick and Easy Method
Bring chicken stock to boil in a large saucepan set over medium-high heat.
Whisk together the flour and milk until the flour has completely dissolved in the milk. When the chicken stock has reached a rolling boil, slowly whisk the flour mixture into the boiling chicken stock, whisking constantly. Cook until the cream of chicken soup has thickened, about 8 more minutes.
Remove from the heat and stir in salt, pepper, onion, and garlic powder, if using.","{'servingSize': '1 cup', 'calories': '206 kcal', 'carbohydrateContent': '15 g', 'proteinContent': '7 g', 'fatContent': '13 g', 'saturatedFatContent': '7 g', 'transFatContent': '0.3 g', 'cholesterolContent': '35 mg', 'sodiumContent': '926 mg', 'fiberContent': '0.3 g', 'sugarContent': '6 g', 'unsaturatedFatContent': '5 g'}",American,4 servings,https://addapinch.com/wp-content/uploads/2014/11/condensed-cream-of-chicken-soup-recipe-2695.jpg,5.0,This Homemade Cream of Chicken Soup recipe makes an easy substitute for condensed soup and is essential in many casseroles and soups. This is a quick and easy recipe that is also freezer-friendly!,Complete
"dinner,Soup",Slow Cooker Chicken and Dumplings Recipe,490,"4 chicken breasts (boneless, skinless ), 2 tablespoons butter, 1 recipe cream of chicken soup (or 3 (10.5-ounce) cans store-bought soup), 6 biscuits (uncooked biscuits, cut into 4 pieces), 1/4 cup chopped fresh parsley (optional), salt and pepper (to taste)","IngredientGroup(ingredients=['4 chicken breasts (boneless, skinless )', '2 tablespoons butter', '1 recipe cream of chicken soup (or 3 (10.5-ounce) cans store-bought soup)', '6 biscuits (uncooked biscuits, cut into 4 pieces)', '1/4 cup chopped fresh parsley (optional)', 'salt and pepper (to taste)'], purpose=None)","Add the chicken, butter, and cream of chicken soup to a 5 to 6-quart slow cooker. Add enough water until the chicken and soup are completely covered. Stir together.
Cook 6 hours on the high setting or 8 hours on the low setting. About 30 to 35 minutes prior to serving, shred the chicken in the slow cooker with two forks. Add the biscuit pieces to the slow cooker. Cook until the biscuit dough is fully cooked throughout.
Serve with fresh parsley, if using, and salt and pepper to taste.","{'calories': '164 kcal', 'carbohydrateContent': '10 g', 'proteinContent': '13 g', 'fatContent': '8 g', 'saturatedFatContent': '3 g', 'transFatContent': '0.1 g', 'cholesterolContent': '44 mg', 'sodiumContent': '281 mg', 'fiberContent': '0.3 g', 'sugarContent': '1 g', 'unsaturatedFatContent': '5 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2023/08/Slow-Cooker-Chicken-Dumplings-Recipe-27.jpg,5.0,"Easy Slow Cooker Chicken and Dumplings with tender chicken breasts, a rich, creamy sauce, and dumplings cooked in the crock pot.",Complete
"dinner,Lunch",Crispy Hot Honey Chicken Sandwich Recipe,30,"2 chicken breasts (pounded to 1/2-inch thickness. Each breast cut into 3 equal pieces), 1 large egg, 1 cup buttermilk, 2 tablespoons olive oil, 2 tablespoons butter, 1/2 cup all-purpose flour, 2 tablespoons plain breadcrumbs, 1/2 teaspoon baking powder, 1 teaspoon Stone House Seasoning, 1/4 cup Hot Honey, 4 hamburger buns, lettuce, tomatoes, pickles","IngredientGroup(ingredients=['2 chicken breasts (pounded to 1/2-inch thickness. Each breast cut into 3 equal pieces)', '1 large egg', '1 cup buttermilk', '2 tablespoons olive oil', '2 tablespoons butter', '1/2 cup all-purpose flour', '2 tablespoons plain breadcrumbs', '1/2 teaspoon baking powder', '1 teaspoon Stone House Seasoning', '1/4 cup Hot Honey', '4 hamburger buns'], purpose=None), IngredientGroup(ingredients=['lettuce', 'tomatoes', 'pickles'], purpose='Optional toppings')","Prep. Pound the chicken with a rolling pin or meat mallet to 1/2-inch thickness. Whisk together the dry ingredients for the breading in a shallow baking dish. Whisk together the wet ingredients for the breading in a separate shallow baking dish. Preheat the oven to 425º F. Add butter and olive oil to the skillet and plate the skillet in the oven until the butter melts. Remove the skillet from the oven and swirl until the interior of the skillet is coated.
Bread the chicken. Dip the chicken into the egg mixture, then the flour mixture, then back into the egg mixture and then into the flour mixture for the second time. Finally, dip into the egg mixture for the 3rd time. Place the chicken into the skillet leaving space between the chicken. Repeat until all chicken is breaded. You may need to cook in batches depending on the size of your chicken and the skillet.
Bake the chicken. Place the skillet into the oven and cook for 10-12 minutes. Carefully flip the chicken with a metal spatula, taking care not to tear the breading from the chicken. Bake until the chicken reaches 165º F when checked with an instant-read thermometer, about 5 more minutes.
Add the hot honey. Spoon the hot honey onto each piece of chicken, about a tablespoon per piece. Make sure that the chicken is well coated. Broil the chicken for about 5 minutes until the exterior is crispy and golden brown. Watch the chicken as it broils. Remove from the oven and allow to rest for 5 minutes before serving.
Assemble and serve.
Place a piece of the cooked hot honey chicken onto the bottom half of the bun. Top with your favorite sandwich toppings and more hot honey if your prefer.","{'calories': '493 kcal', 'carbohydrateContent': '58 g', 'proteinContent': '22 g', 'fatContent': '19 g', 'saturatedFatContent': '7 g', 'transFatContent': '0.2 g', 'cholesterolContent': '104 mg', 'sodiumContent': '1023 mg', 'fiberContent': '1 g', 'sugarContent': '24 g', 'unsaturatedFatContent': '10 g', 'servingSize': '1 serving'}",American,4 servings,https://addapinch.com/wp-content/uploads/2023/08/Hot-Honey-Chicken-Sandwich-Recipe-74.jpg,5.0,This Crispy Hot Honey Chicken Sandwich recipe features crispy oven-fried chicken smothered in homemade spicy hot honey.,Complete
