Category,Title,Total Time,All Ingredients,Ingredient Groups,Instructions,Nutrition,Cuisine,Yields,Image,Ratings,Description,Status
Side Dish,Air Fryer Baked Potato Recipe,33,"4 medium Russet potatoes (scrubbed clean and dried), 2 teaspoons olive oil, 1 teaspoon kosher salt, Butter, Sour Cream, Cheese, fresh herbs","IngredientGroup(ingredients=['4 medium Russet potatoes (scrubbed clean and dried)', '2 teaspoons olive oil', '1 teaspoon kosher salt'], purpose=None), IngredientGroup(ingredients=['Butter', 'Sour Cream', 'Cheese', 'fresh herbs'], purpose='Optional Toppings')","Prick each of the potatoes with a fork or sharp knife. Brush or rub the potatoes with olive oil and sprinkle with salt. Then, arrange the potatoes in the air fryer basket, leaving ample room around the potatoes for the air to circulate as the potatoes cook.
Set the heat to 400º F and the timer for 30 minutes. At 30 minutes, pull open the air fryer and gently press on the sides of the potato or prick the center with a sharp paring knife. If it easily yields, the potato is done. If not, return it to the basket and set the timer for up to 10 more minutes.
Split open the baked potatoes with a knife and add your preferred toppings.","{'servingSize': '1 potato', 'calories': '121 kcal', 'carbohydrateContent': '24 g', 'proteinContent': '3 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'sodiumContent': '605 mg', 'fiberContent': '2 g'}",American,4 servings,https://addapinch.com/wp-content/uploads/2023/02/air-fryer-baked-potato-recipe-10.jpg,5.0,"This Air Fryer Baked Potato Recipe makes baked potatoes with a crispy, flavorful outside and fluffy, tender inside that are quick, easy, and delicious. Learn how to cook a baked potato in the air fryer that is perfect every time!",Complete
Side Dish,How to Cook Brown Rice Recipe,35,"2 cup uncooked brown rice, 4 cups water (or chicken stock), 1 teaspoon olive oil, 2 cup uncooked brown rice, 4 cups water (or chicken stock), 2 cups uncooked brown rice, 2 1/2 cups water (or chicken stock)","IngredientGroup(ingredients=['2 cup uncooked brown rice', '4 cups water (or chicken stock)', '1 teaspoon olive oil'], purpose='Stovetop Brown Rice Recipe'), IngredientGroup(ingredients=['2 cup uncooked brown rice', '4 cups water (or chicken stock)'], purpose='Rice Cooker Brown Rice Recipe'), IngredientGroup(ingredients=['2 cups uncooked brown rice', '2 1/2 cups water (or chicken stock)'], purpose='Instant Pot Brown Rice Recipe')","Stovetop Brown Rice Recipe
Rinse the rice in a fine mesh strainer until the water runs clear. Add brown rice and water to a medium saucepan set over medium heat. Stir in the olive oil. Bring to a rolling boil, reduce heat to simmer, cover with lid, and cook until the rice is tender and the water is absorbed, 30 to 40 minutes. Remove from the heat, leave covered, and rest for 10 minutes. Fluff with a fork and serve.
Rice Cooker Brown Rice Recipe
Rinse the rice in a fine mesh strainer until the water runs clear. Add brown rice and water to the rice cooker. Cook using the brown rice setting. Fluff with a fork and serve.
Instant Pot Brown Rice Recipe
Rinse the rice in a fine mesh strainer until the water runs clear. Add brown rice to the Instant Pot or other pressure cooker. Pour in the water and stir to combine. Seal the lid of the Instant Pot and select 15 minutes on high pressure. Allow the Instant Pot to release pressure naturally. Remove the lid to the Instant Pot and fluff the brown rice with a fork.","{'servingSize': '1 cup', 'calories': '216.5 kcal', 'carbohydrateContent': '44.8 g', 'proteinContent': '5 g', 'fatContent': '1 g', 'sodiumContent': '7 mg', 'fiberContent': '2 g'}",American,6 servings,https://addapinch.com/wp-content/uploads/2018/03/instant-pot-brown-rice-recipe-0358-scaled.jpg,4.99,"Learn how to cook brown rice with this foolproof, easy recipe! It makes perfect brown rice every time! It's perfect for busy weeknights and easy meal prep! Stovetop, Instant Pot, and Rice Cooker instructions included!",Complete
Side Dish,Black Eyed Peas Recipe,130,"1 pound dried black eyed peas ((16-ounces)), 1 ham bone (leftover and frozen from previously cooked ham recipe or about 7 strips of thick-sliced bacon or salt pork), salt and pepper (to taste)","IngredientGroup(ingredients=['1 pound dried black eyed peas ((16-ounces))', '1 ham bone (leftover and frozen from previously cooked ham recipe or about 7 strips of thick-sliced bacon or salt pork)', 'salt and pepper (to taste)'], purpose=None)","Stove Top Black Eyed Peas
Rinse black eyed peas in a colander, discarding any peas that are discolored or any small pebbles that may be in the dried peas.
Pour rinsed black eyed peas into a large, heavy-bottomed stock pot and soak using one of two soaking methods. Quick Soak: Cover with water, plus about 2 inches. Bring to a boil and boil for 2 minutes. Overnight Soak: Cover with water, plus about 2 inches. Allow to soak in the stockpot, uncovered overnight. Once soaked, pour black eyed peas through a colander again to remove them from the soaking water.
Add peas back to the stock pot and return to stove over medium-low heat. Add enough water to the stock pot to cover the black eyed peas, plus about 2 inches. Add in ham bone, bacon or salt pork, if using. If you prefer a vegetarian or vegan method, use 2 tablespoons olive oil. Bring black eyed peas to a simmer and continue to keep at a low simmer, adding water and stirring occasionally as needed, until the black eyed peas are fork tender, about two hours.
Remove and discard ham bone, leaving bits of ham that would have cooked into the black eyed peas in the peas. If using bacon or salt pork, remove and discard. Salt and pepper to taste.
Slow Cooker Black Eyed Peas
Rinse black eyed peas in a colander, discarding any peas that are discolored or any small pebbles that may be in the dried peas.
Pour rinsed black eyed peas into a large, heavy-bottomed stock pot and soak using one of two soaking methods. Quick Soak: Cover with water, plus about 2 inches. Bring to a boil and boil for 2 minutes. Overnight Soak: Cover with water, plus about 2 inches. Allow to soak in the stockpot, uncovered overnight. Once soaked, pour black eyed peas through a colander again to remove them from the soaking water.
Add black eyed peas to the slow cooker and cover with water, plus about 2 inches. Add in ham bone, bacon or salt pork, if using. If you prefer a vegetarian or vegan method, use 2 tablespoons olive oil. Place the lid onto the slow cooker and cook for 8 hours on low setting.
Remove and discard ham bone, leaving bits of ham that would have cooked into the black eyed peas in the peas. If using bacon or salt pork, remove and discard.
Instant Pot Black Eyed Peas
Add rinsed black eyed peas to Instant Pot and cover with water, plus about 2 inches. Add in ham bone, bacon or salt pork, if using. If you prefer a vegetarian or vegan method, use 2 tablespoons olive oil. Secure the lid to the Instant Pot and cook under high pressure for 25 minutes. Allow the pressure to release naturally, about 20 more minutes. Remove and discard ham bone, leaving bits of ham that would have cooked into the black eyed peas in the peas. If using bacon or salt pork, remove and discard.","{'calories': '208 kcal', 'carbohydrateContent': '34 g', 'proteinContent': '15 g', 'fatContent': '2 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '6 mg', 'sodiumContent': '33 mg', 'fiberContent': '6 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2015/12/slow-cooker-black-eyed-peas-DSC_1365-1.jpg,5.0,"This Southern Black Eyed Peas recipe is full of flavor and has stovetop, slow cooker and Instant Pot methods! They are a Southern classic dish and family favorite! Delicious year-round, they are traditionally served on New Year's Day to bring luck.",Complete
Side Dish,Scalloped Potatoes Recipe,120,"4 large Russet or Yukon Gold potatoes (sliced thinly to 1/8-inch thick), 1/4 cup butter, 1/4 cup all-purpose flour, 2 cups whole milk or heavy cream, 1/2 teaspoon Kosher salt, 1/2 teaspoon ground black pepper, 1/8 teaspoon cayenne pepper, 1 cup grated monterey jack cheese, 1 cup grated Cheddar cheese","IngredientGroup(ingredients=['4 large Russet or Yukon Gold potatoes (sliced thinly to 1/8-inch thick)', '1/4 cup butter', '1/4 cup all-purpose flour', '2 cups whole milk or heavy cream', '1/2 teaspoon Kosher salt', '1/2 teaspoon ground black pepper', '1/8 teaspoon cayenne pepper'], purpose=None), IngredientGroup(ingredients=['1 cup grated monterey jack cheese', '1 cup grated Cheddar cheese'], purpose='Optional Ingredients')","Preheat oven to 350º F. Spray 9x13 casserole dish with nonstick cooking spray and set aside.
Place potato slices in a bowl of cold water to keep from turning brown while making cream sauce.
Make Cream Sauce
Melt butter in a medium saucepan set over medium heat. Whisk in flour until well-combined, then whisk in milk, salt, pepper, cayenne pepper. Reduce heat to simmer and continue to whisk until sauce bubbles slightly around the edges of the saucepan and has thickened slightly.
If you are adding cheese (making Potatoes Au Gratin), stir them in at this point.
Make Casserole
Drain cold water from the potato slices and arrange the slices in the 9x13 casserole dish. Pour cream sauce over potato slices and cover the casserole dish with foil.
Cook
Bake covered for 45 minutes. Remove the foil and bake until the top is golden brown and the potatoes are fork-tender. If additional browning is desired, you may broil the casserole for 3 to 5 minutes.
Remove from the oven and allow to cool for 15 minutes to allow the sauce to thicken for easier serving. Serve warm.","{'calories': '199 kcal', 'carbohydrateContent': '31 g', 'proteinContent': '5 g', 'fatContent': '6 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '17 mg', 'sodiumContent': '185 mg', 'fiberContent': '2 g', 'sugarContent': '3 g', 'servingSize': '1 serving'}",American,10 servings,https://addapinch.com/wp-content/uploads/2016/12/scalloped-potatoes-recipe-DSC_6540-2.jpg,4.99,This easy scalloped potatoes recipe makes the best potato side dish! Tender slices of potatoes in an easy creamy sauce is a classic favorite!,Complete
Side Dish,Corn Casserole,55,"6 tablespoons butter, 1 medium jalapeño pepper (deseeded and chopped (optional)), 1/2 medium onion (chopped (optional)), 1/2 cup all-purpose flour, 1/2 cup cornmeal, 1/2 teaspoon kosher salt, 2 large eggs, 1/2 cup chicken stock or broth ( or broth), 1 (15-ounce) can whole kernel corn (undrained or frozen whole kernell corn), 1 (15-ounce) can creamed corn (undrained, or frozen creamed corn), 2 cups grated cheese (cheddar, Monterrey Jack, or Pepper Jack)","IngredientGroup(ingredients=['6 tablespoons butter', '1 medium jalapeño pepper (deseeded and chopped (optional))', '1/2 medium onion (chopped (optional))', '1/2 cup all-purpose flour', '1/2 cup cornmeal', '1/2 teaspoon kosher salt', '2 large eggs', '1/2 cup chicken stock or broth ( or broth)', '1 (15-ounce) can whole kernel corn (undrained or frozen whole kernell corn)', '1 (15-ounce) can creamed corn (undrained, or frozen creamed corn)', '2 cups grated cheese (cheddar, Monterrey Jack, or Pepper Jack)'], purpose=None)","Preheat oven to 350º F. Spray 9x13 casserole dish with nonstick cooking spray. Set aside.
Melt butter in heavy skillet; add pepper and onions and saute until tender.
Mix flour, cornmeal, salt, eggs, chicken stock, creamed corn, and whole kernel corn, and cheese in large bowl until well blended. Stir in sauted onions, and peppers. Pour into prepared casserole dish. Bake for 40-45 minutes or until the center of the casserole is just set.","{'carbohydrateContent': '31 g', 'proteinContent': '13 g', 'fatContent': '20 g', 'saturatedFatContent': '11 g', 'transFatContent': '1 g', 'cholesterolContent': '89 mg', 'sodiumContent': '521 mg', 'fiberContent': '2 g', 'sugarContent': '4 g', 'calories': '342 kcal', 'unsaturatedFatContent': '6 g', 'servingSize': '1 serving'}",American,8 servings,https://addapinch.com/wp-content/uploads/2014/11/corn-casserole-recipe-DSC_0227-2.jpg,5.0,"Corn casserole makes a comforting classic casserole! Made of creamed and whole corn, this corn casserole comes together quickly and makes a favorite side dish!",Complete
Side Dish,Roasted Brussels Sprouts with Bacon and Pomegranate,50,"3 slices bacon, 1-1/2 pounds brussels sprouts (halved), 1 teaspoon kosher salt, 1/2 teaspoon ground black pepper, 1 tablespoon balsamic vinegar, 1 tablespoon maple syrup, 3 tablespoons pomegranate seeds","IngredientGroup(ingredients=['3 slices bacon', '1-1/2 pounds brussels sprouts (halved)', '1 teaspoon kosher salt', '1/2 teaspoon ground black pepper', '1 tablespoon balsamic vinegar', '1 tablespoon maple syrup', '3 tablespoons pomegranate seeds'], purpose=None)","Preheat oven to 425ºF.
Arrange bacon on the baking sheet and bake until cooked throughout, about 12 minutes. Remove the bacon from the baking sheet and set aside to cool. Once cooled, crumble.
Place the Brussels sprouts onto the baking sheet used for the bacon and sprinkle with salt and pepper and lightly toss to coat. Roast the brussels sprouts, stirring occasionally, until tender and caramelized, about 20 minutes. Meanwhile, combine the maple syrup and balsamic vinegar and set aside.
Remove the Brussels sprouts from oven, drizzle with maple syrup mixture, add crumbled bacon and pomegranate seeds and toss to coat. Serve warm.","{'calories': '80 kcal', 'carbohydrateContent': '7 g', 'proteinContent': '2 g', 'fatContent': '4 g', 'saturatedFatContent': '1 g', 'cholesterolContent': '7 mg', 'sodiumContent': '471 mg', 'fiberContent': '1 g', 'sugarContent': '4 g', 'servingSize': '1 serving'}",American,6 servings,https://addapinch.com/wp-content/uploads/2016/10/roasted-brussels-sprouts-pomegranate-bacon-recipe_DSC4461.jpg,5.0,"Roasted Brussels Sprouts with Bacon and Pomegranate melds savory oven roasted Brussels sprouts, crispy bacon and sweet pomegranate in this delicious favorite side dish recipe! Perfect for holidays and entertaining!",Complete
Side Dish,Green Bean Casserole Recipe,45,"1 pound green beans (fresh, frozen, or canned, all trimmed and cut to 1-inch pieces and drained ), 2 tablespoons butter, 12 ounces mushrooms (sliced), 1/2 cup milk, 1 1/2 cups cream of chicken soup (homemade or store-bought ), 1 teaspoon Worcestershire sauce (or coconut aminos), 1 teaspoon Stone House Seasoning, 2 cups crispy fried onions (homemade or store-bought, divided )","IngredientGroup(ingredients=['1 pound green beans (fresh, frozen, or canned, all trimmed and cut to 1-inch pieces and drained )', '2 tablespoons butter', '12 ounces mushrooms (sliced)', '1/2 cup milk', '1 1/2 cups cream of chicken soup (homemade or store-bought )', '1 teaspoon Worcestershire sauce (or coconut aminos)', '1 teaspoon Stone House Seasoning', '2 cups crispy fried onions (homemade or store-bought, divided )'], purpose=None)","Prep. Preheat your oven to 350ºF. Spray a 9x13 baking dish with nonstick baking spray and set aside.
Quick boil green beans. Bring about 2 quarts of water to a rolling boil. Add green beans to the boiling water and cook for 5-7 minutes. Remove from the boiling water and place in a bowl of ice water or immediately rinse with ice-cold water. (If using canned green beans, skip this step.)
Saute and Cook. Meanwhile, melt the butter and saute the mushrooms until tender, about 7 to 8 minutes. Add the drained green beans, milk, soup, Worcestershire sauce, Stone House Seasoning, and half of the crispy onions. Stir to combine and pour into the casserole dish.
Bake. Bake for 30 to 35 minutes uncovered.
Add Topping and Bake. Remove from the oven and top with remaining crispy onions. Return to the oven until golden brown, about 10 minutes.","{'calories': '128 kcal', 'carbohydrateContent': '10 g', 'proteinContent': '3 g', 'fatContent': '9 g', 'saturatedFatContent': '4 g', 'cholesterolContent': '9 mg', 'sodiumContent': '522 mg', 'fiberContent': '1 g', 'sugarContent': '3 g', 'transFatContent': '0.1 g', 'unsaturatedFatContent': '2 g', 'servingSize': '1 serving'}",American,12 servings,https://addapinch.com/wp-content/uploads/2022/11/Green-Bean-Casserole-Recipe-23.jpg,5.0,"This Green Bean Casserole recipe is a fresh take on a classic side dish! Easy, creamy and delicious, homemade cream of chicken and fresh ingredients make this the best ever!",Complete
"Sauce,Side Dish",Cranberry Sauce Recipe,15,"1 (12-ounce) package cranberries (fresh or frozen), 1 cup water, 1/2 cup orange juice, 1/2 cup sugar, orange zest (optional)","IngredientGroup(ingredients=['1 (12-ounce) package cranberries (fresh or frozen)', '1 cup water', '1/2 cup orange juice', '1/2 cup sugar', 'orange zest (optional)'], purpose=None)","Bring orange juice, sugar and water to a boil in a medium saucepan set over medium heat.
Add cranberries and cook over low-medium heat until they begin to pop and thickened to desired consistency, about 8-10 minutes. The cranberry sauce will continue to thicken as it cools.
Place a bit of the cranberry sauce onto a wooden spoon and then see how thick it is when pour it back into the saucepan. If some of the cranberry sauce sticks to the wooden spoon, then it is done.
Remove from heat, add orange zest and stir until just combined.
Top with additional orange zest for serving, if desired.","{'servingSize': '0.25 cup', 'calories': '55 kcal', 'carbohydrateContent': '14 g', 'proteinContent': '0.1 g', 'fatContent': '0.1 g', 'saturatedFatContent': '0.004 g', 'sodiumContent': '2 mg', 'fiberContent': '0.04 g', 'sugarContent': '14 g', 'unsaturatedFatContent': '0.02 g'}",American,8 servings,https://addapinch.com/wp-content/uploads/2010/11/classic-cranberry-sauce-recipe_DSC4332.jpg,5.0,"This homemade Cranberry Sauce recipe is a holiday classic made with fresh or frozen cranberries. Ready in 15 minutes and made with just three ingredients, it's easy to make and great to make ahead, too! The perfect complement to Thanksgiving turkey and dressing!",Complete
Side Dish,Southern Macaroni and Cheese,45,"1 (8-ounce) package elbow noodles (cooked and drained), 1 cup grated sharp cheddar cheese, 2 cups cream of chicken soup (or 1 (10 3/4 ounce) can cream of chicken soup + 10 3/4 ounces of water), 3 heaping tablespoons mayonnaise, 3/4 cup pimento pepper (chopped (large jar)), 1 sleeve Ritz Crackers (crumbled), 4 tablespoons butter (melted)","IngredientGroup(ingredients=['1 (8-ounce) package elbow noodles (cooked and drained)', '1 cup grated sharp cheddar cheese', '2 cups cream of chicken soup (or 1 (10 3/4 ounce) can cream of chicken soup + 10 3/4 ounces of water)', '3 heaping tablespoons mayonnaise', '3/4 cup pimento pepper (chopped (large jar))', '1 sleeve Ritz Crackers (crumbled)', '4 tablespoons butter (melted)'], purpose=None)","Preheat oven to 350º F.
Mix the cooked noodles, cheese, cream of chicken soup (and water if using store-bought), mayonnaise, and pimentos together in a large bowl. Spread into a 9 x 13-inch baking dish. Set aside.
In a medium bowl, mix Ritz Crackers and melted butter until thoroughly blended. Sprinkle crackers on top of casserole.
Bake at 350º F degrees until the cheese has melted and the top is golden brown, 30 minutes.","{'servingSize': '0.5 cup', 'calories': '331 kcal', 'carbohydrateContent': '26 g', 'proteinContent': '12 g', 'fatContent': '19 g', 'saturatedFatContent': '10 g', 'cholesterolContent': '50 mg', 'sodiumContent': '673 mg', 'sugarContent': '1 g'}",American,8 servings,https://addapinch.com/wp-content/uploads/2011/07/southern-macaroni-cheese-recipe_DSC4739.jpg,4.92,"This Southern Macaroni and Cheese Recipe is a rich, creamy baked mac and cheese with a crunchy topping. It's a heirloom family recipe and a favorite comfort food loved for generations! Make-ahead and freezer-friendly!",Complete
Side Dish,Easy Mashed Potatoes Recipe,45,"5 pounds potatoes (Yukon Gold or Russet, scrubbed clean and peeled), 1 tablespoon kosher salt, 1/2 cup butter (cut into cubes), 1 cup milk (half and half, cream, or dairy-free milk), 1 teaspoon kosher salt (plus more to taste), 1/2 teaspoon ground black pepper (plus more to taste)","IngredientGroup(ingredients=['5 pounds potatoes (Yukon Gold or Russet, scrubbed clean and peeled)', '1 tablespoon kosher salt', '1/2 cup butter (cut into cubes)', '1 cup milk (half and half, cream, or dairy-free milk)', '1 teaspoon kosher salt (plus more to taste)', '1/2 teaspoon ground black pepper (plus more to taste)'], purpose=None)","Cut potatoes in half lengthwise and then dice into 2-inch cubes. Cover with fresh, cold water plus about 1-inch. Stir in 1 tablespoon of salt and place over medium heat. Bring to a boil, then reduce the heat to a simmer. Cover and allow to simmer until the potatoes are very tender, about 15 minutes.
Drain away the water and return the potatoes to medium-high heat to remove all of the excess water from the potatoes, about 3 minutes.
Meanwhile, melt the butter in a saucepan set over medium-low heat. Add the milk or half and half, salt and black pepper. Allow the mixture to warm, but never reach a boil. Remove from the heat until you mash your potatoes.
Mash the potatoes with a potato masher until all have been well mashed. Then, slowly pour in the half of the milk and butter mixture. Carefully stir in the milk mixture until it is well incorporated. Add more of the milk mixture, being sure to only add enough for the mashed potatoes to be light, fluffy, and creamy and to the desired consistency.
Serve with additional butter, salt, pepper and any additional toppings you prefer.","{'calories': '260 kcal', 'carbohydrateContent': '41 g', 'proteinContent': '4 g', 'fatContent': '9 g', 'saturatedFatContent': '5 g', 'cholesterolContent': '24 mg', 'sodiumContent': '1022 mg', 'fiberContent': '2 g', 'sugarContent': '1 g', 'servingSize': '1 serving'}",American,10 servings,https://addapinch.com/wp-content/uploads/2023/10/mashed-potatoes-recipe-000009.jpg,5.0,"These homemade mashed potatoes are rich and creamy, easy to make, and make the perfect side dish! Learn how to make the best mashed potatoes recipe with our tips!",Complete
